year,original,orig_gauss_b4_pq34,orig_gauss_b4_FCC_pq12,orig_gauss_b4_FCC_pq3,orig_gauss_b4_pCCC_pq12,orig_gauss_b4_pCCC_pq3,tribal_name,legal_stat,legal_st_1,reservatio,tribal_gov,n_kids_u5,n_fams_u5,state_n_kids_u5,state_n_fams_u5,hr_slots,share_hr,adj_supply_any,adj_supply_ccc,adj_supply_fcc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,access_index,state_hr_slots,state_adj_supply_any,state_adj_supply_ccc,state_adj_supply_fcc,state_adj_supply_hr,state_adj_supply_public,state_totcost_any,state_totcost_ccc,state_totcost_hr,state_totcost_public,state_quality_premium,state_access_index,state_share_hr,msa_hr_slots,msa_adj_supply_any,msa_adj_supply_ccc,msa_adj_supply_fcc,msa_adj_supply_hr,msa_adj_supply_public,msa_totcost_any,msa_totcost_ccc,msa_totcost_hr,msa_totcost_public,msa_quality_premium,msa_access_index,msa_share_hr,rural_hr_slots,rural_adj_supply_any,rural_adj_supply_ccc,rural_adj_supply_fcc,rural_adj_supply_hr,rural_adj_supply_public,rural_totcost_any,rural_totcost_ccc,rural_totcost_hr,rural_totcost_public,rural_quality_premium,rural_access_index,rural_share_hr,st_med_hr_slots,st_med_adj_supply_any,st_med_adj_supply_ccc,st_med_adj_supply_fcc,st_med_adj_supply_hr,st_med_adj_supply_public,st_med_totcost_any,st_med_totcost_ccc,st_med_totcost_hr,st_med_totcost_public,st_med_quality_premium,st_med_access_index,st_med_share_hr,p25_hr_slots,p75_hr_slots,p50_hr_slots,p25_adj_supply_any,p75_adj_supply_any,p50_adj_supply_any,p25_adj_supply_ccc,p75_adj_supply_ccc,p50_adj_supply_ccc,p25_adj_supply_fcc,p75_adj_supply_fcc,p50_adj_supply_fcc,p25_adj_supply_hr,p75_adj_supply_hr,p50_adj_supply_hr,p25_adj_supply_public,p75_adj_supply_public,p50_adj_supply_public,p25_totcost_any,p75_totcost_any,p50_totcost_any,p25_totcost_ccc,p75_totcost_ccc,p50_totcost_ccc,p25_totcost_hr,p75_totcost_hr,p50_totcost_hr,p25_totcost_public,p75_totcost_public,p50_totcost_public,p25_quality_premium,p75_quality_premium,p50_quality_premium,p25_access_index,p75_access_index,p50_access_index,p25_share_hr,p75_share_hr,p50_share_hr,N_AI_tribal_name,rank_hr_slots,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_fcc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_access_index,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,s_adj_supply_fcc,s_adj_supply_ccc,s_adj_supply_public,s_st_adj_supply_fcc,s_st_adj_supply_ccc,s_st_adj_supply_public
2012,,,,,,,Bois Forte,Bois Forte Reservation,86,R,Bois Forte Band of Chippewa,22.125452,16.153114,349261,259503,1.8029505,.36023322,2.5051091,.70215845,1.1592369e-11,0,1.8029505,92.594765,404.56363,,181.90778,,3.3583796,.0386969,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.016329851,.48531702,.25363493,.21535224,0,.016329851,202.43025,251.13664,,17.787479,,-.43156007,.03597733,.066008456,.59543216,.11581349,.41361022,0,.066008456,119.39986,239.24196,,56.606106,,.52696162,.076030329,.0016955917,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,0,2.9341917,0,0,2.9341917,1.0433131e-10,0,0,0,0,0,0,0,0,0,0,2.9341917,0,35.763889,131.17482,118.91421,122.14703,635.9632,588.77856,,,,3.8055632,390.44522,180.86148,,,,-.38921738,4.8343225,-.26955888,0,.62950325,0,12,1,1,3,9,6.5,1,3,2,7,11,,10,,0,28,72,57,36,7
2013,,,,,,,Bois Forte,Bois Forte Reservation,86,R,Bois Forte Band of Chippewa,22.125452,16.153114,349261,259503,.69767433,.22222222,1.3998327,.70215845,1.1592369e-11,0,.69767433,107.66177,163.80669,279.8251,114.82739,2.0442944,1.522193,.11274216,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,6.9546702e-10,.18093015,.12411853,.4986423,.27688378,.20767923,.11003927,.014079258,210.10277,255.72041,276.25183,13.898079,1.4023361,-.27833655,.24179278,.098850906,.63151497,.1195942,.4365046,.023434754,.075416148,122.86449,176.70358,209.29378,20.764448,1.6272802,.33986616,.10661311,.081345603,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.11446296,.16545573,0,0,0,0,3.1437767,1.0433131e-10,0,0,0,0,0,0,0,0,0,0,0,0,99.050858,147.38895,120.74384,131.13425,180.31685,158.28902,253.79089,304.31879,296.06876,112.9169,164.47255,128.91692,1.6920812,2.1018953,2.0090652,-.33625486,2.1146693,-.16761272,0,0,0,12,2,2,3,10,9.5,2,6,2,7,7,8,11,10,0,50,50,56,37,7
2014,,,,,,,Bois Forte,Bois Forte Off-Reservation Trust Land,OT,T,Bois Forte Band of Chippewa,22.125452,16.153114,349261,259503,.95617753,.29414687,1.8846475,.9284699,1.1592369e-11,0,.95617753,77.602592,160.989,294.01422,26.83956,2.169004,2.556983,.14917329,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,1.3224108e-10,.23537487,.1548647,.53177434,.30802298,.19823626,.1293496,.025515107,209.7149,258.0687,273.70966,9.0229177,1.3640947,-.27881455,.28396159,.14222372,.65180427,.14198691,.41651052,.048916884,.093306825,119.50237,180.70401,193.90744,12.983691,1.4934872,.34044987,.17604747,.11941184,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.1487809,.22529462,0,2.0781295,0,0,2.3057678,1.0433131e-10,0,0,0,0,0,0,0,0,0,0,2.0781295,0,67.505554,108.66466,97.762947,131.1803,175.20818,153.18034,263.14584,342.25034,313.70151,3.8055632,43.83342,35.91674,1.5683414,2.5239711,2.2471421,-.26971072,5.0416675,-.20399784,0,.33152384,0,12,1,1,2,10,9.5,1,6,1,5,6,10,10,10,0,49,51,51,40,10
2015,,,,,,,Bois Forte,Bois Forte Reservation,86,R,Bois Forte Band of Chippewa,22.125452,16.153114,349261,259503,.95617753,.29414687,1.8846475,.9284699,1.1592369e-11,0,.95617753,76.967171,172.55876,284.88611,26.83956,2.1887753,3.144763,.1571209,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,4.6666238e-10,.26617271,.16920049,.51001132,.30203423,.17795667,.13918005,.030020433,214.48586,265.24478,278.92871,8.7821188,1.353738,-.2660127,.3238478,.14237095,.61650711,.13492937,.39052776,.051320944,.091050014,120.5803,184.89079,179.8253,12.67494,1.3686256,.32481799,.19574787,.13152398,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.15025853,.26232243,0,2.0781295,0,0,2.3057678,1.0433131e-10,0,0,0,0,0,0,0,0,0,0,2.0781295,0,64.841148,104.33337,93.756256,127.19451,199.22238,177.19455,256.94473,324.25034,307.5004,3.8055632,43.83342,35.91674,1.7478588,2.514262,2.3144944,-.37391058,6.3777771,-.31240284,0,.33152384,0,12,1,1,2,10,10,1,7,1,5,5,10,10,11,0,49,51,49,41,10
2016,,,,,,,Bois Forte,Bois Forte Reservation,86,R,Bois Forte Band of Chippewa,22.125452,16.153114,349261,259503,.44454968,.22222222,.44454968,0,0,0,.44454968,87.558189,184.65605,454.38455,108.32956,2.5801976,.82243484,.10475305,.30868447,.16964787,.11242023,.07813669,.026616363,168.51242,242.1907,246.28207,38.804512,1.6600305,7.6565043e-10,.2843667,.13995342,.37132013,.24233294,.10267338,.1136396,.026313821,221.29439,274.26117,281.49667,12.025635,1.3112875,-.145895,.35410124,.061771214,.23220243,.080894902,.12432174,.034785431,.026985783,104.06235,203.03069,187.33775,71.503181,2.2442749,.17814684,.19921653,.067397177,.26988581,.12638226,.08399827,.039365496,.0077712298,179.23958,254.69212,267.13513,10.302787,1.3251808,-.076522715,.25419465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.158848,133.14606,50.436653,160.67802,211.20592,201.73175,454.38455,454.38455,454.38455,42.108051,180.58371,50.399166,2.5801976,2.5801976,2.5801976,-.19604246,.20393409,.16754514,0,0,0,12,1,1,9.5,11.5,9.5,1,6,1,5,3,9,7,8,0,0,100,36,55,9
2017,,,,,,,Bois Forte,Bois Forte Reservation,86,R,Bois Forte Band of Chippewa,22.125452,16.153114,349261,259503,1.4809649,.55555558,1.4809649,0,1.1592369e-11,1.1592369e-11,1.4809649,129.22646,708.32031,500.77258,144.86877,.17374165,2.6732175,.16696499,.44115615,.21265782,.17964444,.11711731,.049847685,183.03572,275.08139,247.28606,25.716303,1.3437595,.00013756404,.34881932,.18493438,.43973619,.2857779,.1252379,.15530461,.029629765,227.56776,279.61356,284.02005,12.382446,1.3146435,-.19302246,.40445119,.14502324,.44288999,.12337369,.24607818,.070488229,.07453502,128.62953,269.54431,195.3779,42.006691,1.3853948,.2361272,.2808893,.14204176,.41139814,.1803634,.13195089,.09526775,.021559807,187.25017,269.0394,264.0014,8.5519934,1.2634766,-.11787421,.3744601,0,2.3057678,1.0433131e-10,0,2.3057678,1.0433131e-10,0,0,0,0,0,0,0,0,0,0,2.3057678,0,2.3703847,304.55618,33.194508,689.20178,741.44543,699.13977,121.4697,691.64624,689.20178,2.3703847,304.55618,33.194508,.17374165,.17374165,.17374165,-1.1398771,4.9453764,.16029036,0,1,1,12,1,1,10,10,9,1,5,1,8,12,10,11,1,0,0,100,41,48,11
2018,7.9470325,8.7159433,,0,0,,Bois Forte,Bois Forte Reservation,86,R,Bois Forte Band of Chippewa,22.125452,16.153114,349261,259503,2.5116479,.55555558,2.5116479,0,1.1592369e-11,1.1592369e-11,2.5116479,58.223663,246.01746,154.80725,26.1161,.64478666,6.4410267,.1833386,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,-1.2414926e-09,.33501783,.20287231,.50874692,.3343398,.1365796,.16504481,.037827495,249.97003,309.05048,318.38602,8.2889967,1.3295362,-.21803889,.39469829,.15948673,.53957325,.13787062,.30951822,.067302339,.09218438,133.23422,214.20126,181.24086,12.489292,1.1973439,.26623899,.26214433,.15950859,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.14475809,.3529003,0,2.3057678,1.0433131e-10,0,2.3057678,1.0433131e-10,0,0,0,0,0,0,0,0,0,0,2.3057678,0,3.2768261,108.21772,77.454094,222.83661,255.3231,244.7953,154.77391,167.91283,163.77393,3.2768261,42.222305,33.194508,.64514285,.66656959,.66356814,-.39390433,6.1607075,-.2544125,0,1,1,12,1,1,10.5,10,9,1,4,1,3,7,3,10,1,0,0,100,41,47,12
2019,,,,,,,Bois Forte,Bois Forte Reservation,86,R,Bois Forte Band of Chippewa,22.125452,16.153114,349261,259503,1.2782211,.44444445,1.2782211,0,5.4710680e-12,0,1.2782211,62.076206,203.88414,,13.912595,,2.7709932,.21685407,.56920344,.27474514,.21301781,.13541356,.081440508,188.82721,254.64575,250.36604,39.83754,1.2466825,-3.9950529e-10,.36112294,.23721111,.56380707,.37398562,.13397329,.18136291,.055848189,236.04593,290.60721,299.03973,48.742886,1.2906914,-.20131844,.4183369,.19199687,.57579273,.15356633,.30953607,.07930655,.11269032,131.17021,200.58304,176.8013,28.325695,1.1799331,.2458223,.29126114,.19229907,.5299468,.23519602,.14615482,.11689028,.046364371,193.21698,273.84366,276.4006,18.412409,1.2438682,-.11975329,.37556082,0,1.8310277,0,0,1.8310277,4.9239612e-11,0,0,0,0,0,0,0,0,0,0,1.8310277,0,2.5277829,116.51565,33.194508,203.88414,203.88414,203.88414,,,,1.5587313,33.194508,2.7916775,,,,-.45768419,4.3478208,-.057895739,0,1,0,12,1,1,11,10,10,1,5,1,3,6,,2,,0,0,100,37,48,14
2020,,,,,,,Bois Forte,Bois Forte Reservation,86,R,Bois Forte Band of Chippewa,22.125452,16.153114,349261,259503,1.4805571,.44444445,1.4805571,0,5.9620663e-12,0,1.4805571,61.998051,,,13.912463,,3.2282097,.2391668,.58344477,.2826727,.20582268,.14421742,.094949387,195.66025,256.33185,252.38196,112.12788,1.2529514,-5.7189925e-10,.38828039,.25778362,.57914805,.38157508,.12706237,.187273,.070510618,243.56932,292.39255,301.20221,141.01784,1.2822433,-.2076588,.44085431,.21643451,.58869129,.16190679,.30199388,.09164387,.12479064,137.16031,203.26027,181.2607,74.763512,1.2100846,.25356427,.3240844,.212387,.54498643,.2433251,.14078793,.11976141,.065544695,202.12589,275.61298,278.21957,107.53541,1.2393914,-.12787411,.40247095,0,2.3083115,0,0,2.3083115,5.3658598e-11,0,0,0,0,0,0,0,0,0,0,2.3083115,0,2.5277829,115.81303,33.194508,,,,,,,1.5583371,33.194508,2.7914805,,,,-.46505341,5.4425955,-.066426836,0,1,0,12,2,2,10.5,10,10.5,2,6,2,5,,,3,,0,0,100,35,48,16
2021,,,,,,,Bois Forte,Bois Forte Reservation,86,R,Bois Forte Band of Chippewa,22.125452,16.153114,349261,259503,1.3594311,.55555558,1.3594311,0,0,0,1.3594311,52.348373,,,15.70304,,2.748172,.25498864,.58233821,.30032423,.19155487,.16452955,.090459101,200.82707,275.34302,272.51553,8.8873844,1.261619,9.2420166e-10,.4128885,.27336735,.57948226,.39852765,.11708596,.20949866,.063868679,251.81323,316.85901,323.74631,7.80584,1.2729286,-.20208576,.46881911,.23254494,.5858258,.18040022,.28249481,.10961416,.12293078,138.5638,213.12578,198.2066,10.293574,1.2451237,.24678306,.34458718,.2208669,.53308749,.25042906,.12387804,.13743189,.057669424,204.30151,297.31744,303.00916,7.2924871,1.2356136,-.12613159,.42891139,0,2.3201785,2.7328042e-18,0,2.3201785,2.7328042e-18,0,0,0,0,0,0,0,0,0,0,2.3201785,2.7328042e-18,3.0489817,43.655643,23.723288,,,,,,,1.7460694,33.450066,3.3138952,,,,-.11553737,5.0250092,-.027856627,0,1,1,12,2,3,11,11.5,11.5,2,5,2,4,,,6,,0,0,100,33,52,16
