county,year,varname,value_b2
Aitkin,2012,adj_supply_any,.5600000000000001
Aitkin,2012,adj_supply_ccc,.11
Aitkin,2012,adj_supply_hr,
Aitkin,2012,adj_supply_public,.05
Aitkin,2012,totcost_any,116.05
Aitkin,2012,totcost_ccc,302.29
Aitkin,2012,totcost_hr,
Aitkin,2012,totcost_public,137.26
Aitkin,2012,quality_premium,
Aitkin,2013,adj_supply_any,.72
Aitkin,2013,adj_supply_ccc,.11
Aitkin,2013,adj_supply_hr,.02
Aitkin,2013,adj_supply_public,.07
Aitkin,2013,totcost_any,118.65
Aitkin,2013,totcost_ccc,155.78
Aitkin,2013,totcost_hr,162.54
Aitkin,2013,totcost_public,35.14
Aitkin,2013,quality_premium,1.27
Aitkin,2014,adj_supply_any,.97
Aitkin,2014,adj_supply_ccc,.29
Aitkin,2014,adj_supply_hr,.2
Aitkin,2014,adj_supply_public,.14
Aitkin,2014,totcost_any,115.87
Aitkin,2014,totcost_ccc,167.1
Aitkin,2014,totcost_hr,173.4
Aitkin,2014,totcost_public,17.64
Aitkin,2014,quality_premium,1.37
Aitkin,2015,adj_supply_any,.68
Aitkin,2015,adj_supply_ccc,0
Aitkin,2015,adj_supply_hr,.02
Aitkin,2015,adj_supply_public,.16
Aitkin,2015,totcost_any,105.23
Aitkin,2015,totcost_ccc,187.42
Aitkin,2015,totcost_hr,148.37
Aitkin,2015,totcost_public,15.5
Aitkin,2015,quality_premium,1.17
Aitkin,2016,adj_supply_any,.09
Aitkin,2016,adj_supply_ccc,0
Aitkin,2016,adj_supply_hr,0
Aitkin,2016,adj_supply_public,0
Aitkin,2016,totcost_any,113.59
Aitkin,2016,totcost_ccc,195.36
Aitkin,2016,totcost_hr,206.02
Aitkin,2016,totcost_public,203.37
Aitkin,2016,quality_premium,2.55
Aitkin,2017,adj_supply_any,.44
Aitkin,2017,adj_supply_ccc,0
Aitkin,2017,adj_supply_hr,.08
Aitkin,2017,adj_supply_public,.16
Aitkin,2017,totcost_any,101.79
Aitkin,2017,totcost_ccc,398.47
Aitkin,2017,totcost_hr,159.23
Aitkin,2017,totcost_public,65.06999999999999
Aitkin,2017,quality_premium,1.15
Aitkin,2018,adj_supply_any,.5
Aitkin,2018,adj_supply_ccc,.01
Aitkin,2018,adj_supply_hr,.07
Aitkin,2018,adj_supply_public,.16
Aitkin,2018,totcost_any,104.72
Aitkin,2018,totcost_ccc,208.52
Aitkin,2018,totcost_hr,159.82
Aitkin,2018,totcost_public,15.5
Aitkin,2018,quality_premium,1.13
Aitkin,2019,adj_supply_any,.43
Aitkin,2019,adj_supply_ccc,.01
Aitkin,2019,adj_supply_hr,.05
Aitkin,2019,adj_supply_public,.14
Aitkin,2019,totcost_any,114.04
Aitkin,2019,totcost_ccc,162.89
Aitkin,2019,totcost_hr,150.37
Aitkin,2019,totcost_public,108.86
Aitkin,2019,quality_premium,1.09
Aitkin,2020,adj_supply_any,.66
Aitkin,2020,adj_supply_ccc,.04
Aitkin,2020,adj_supply_hr,.04
Aitkin,2020,adj_supply_public,.21
Aitkin,2020,totcost_any,115.62
Aitkin,2020,totcost_ccc,149.6
Aitkin,2020,totcost_hr,146.21
Aitkin,2020,totcost_public,12.07
Aitkin,2020,quality_premium,.98
Aitkin,2021,adj_supply_any,.59
Aitkin,2021,adj_supply_ccc,.08
Aitkin,2021,adj_supply_hr,.12
Aitkin,2021,adj_supply_public,.16
Aitkin,2021,totcost_any,148.75
Aitkin,2021,totcost_ccc,150.61
Aitkin,2021,totcost_hr,151
Aitkin,2021,totcost_public,12
Aitkin,2021,quality_premium,1.03
Aitkin,2022,adj_supply_any,.6
Aitkin,2022,adj_supply_ccc,.08
Aitkin,2022,adj_supply_hr,.12
Aitkin,2022,adj_supply_public,.13
Aitkin,2022,totcost_any,120.02
Aitkin,2022,totcost_ccc,149.59
Aitkin,2022,totcost_hr,150.79
Aitkin,2022,totcost_public,17.64
Aitkin,2022,quality_premium,1.04
Anoka,2012,adj_supply_any,.53
Anoka,2012,adj_supply_ccc,.22
Anoka,2012,adj_supply_hr,
Anoka,2012,adj_supply_public,.01
Anoka,2012,totcost_any,179.72
Anoka,2012,totcost_ccc,231.86
Anoka,2012,totcost_hr,
Anoka,2012,totcost_public,22.61
Anoka,2012,quality_premium,
Anoka,2013,adj_supply_any,.53
Anoka,2013,adj_supply_ccc,.24
Anoka,2013,adj_supply_hr,.1
Anoka,2013,adj_supply_public,.01
Anoka,2013,totcost_any,185.12
Anoka,2013,totcost_ccc,235.83
Anoka,2013,totcost_hr,262.19
Anoka,2013,totcost_public,17.9
Anoka,2013,quality_premium,1.51
Anoka,2014,adj_supply_any,.55
Anoka,2014,adj_supply_ccc,.25
Anoka,2014,adj_supply_hr,.12
Anoka,2014,adj_supply_public,.03
Anoka,2014,totcost_any,186.89
Anoka,2014,totcost_ccc,244.86
Anoka,2014,totcost_hr,250.57
Anoka,2014,totcost_public,10.18
Anoka,2014,quality_premium,1.38
Anoka,2015,adj_supply_any,.52
Anoka,2015,adj_supply_ccc,.25
Anoka,2015,adj_supply_hr,.12
Anoka,2015,adj_supply_public,.03
Anoka,2015,totcost_any,193.77
Anoka,2015,totcost_ccc,250.23
Anoka,2015,totcost_hr,251.9
Anoka,2015,totcost_public,10.16
Anoka,2015,quality_premium,1.36
Anoka,2016,adj_supply_any,.37
Anoka,2016,adj_supply_ccc,.21
Anoka,2016,adj_supply_hr,.12
Anoka,2016,adj_supply_public,.02
Anoka,2016,totcost_any,200.72
Anoka,2016,totcost_ccc,257.7
Anoka,2016,totcost_hr,261.59
Anoka,2016,totcost_public,12.06
Anoka,2016,quality_premium,1.37
Anoka,2017,adj_supply_any,.43
Anoka,2017,adj_supply_ccc,.22
Anoka,2017,adj_supply_hr,.14
Anoka,2017,adj_supply_public,.04
Anoka,2017,totcost_any,197.4
Anoka,2017,totcost_ccc,265.2
Anoka,2017,totcost_hr,255.84
Anoka,2017,totcost_public,16.7
Anoka,2017,quality_premium,1.35
Anoka,2018,adj_supply_any,.47
Anoka,2018,adj_supply_ccc,.25
Anoka,2018,adj_supply_hr,.15
Anoka,2018,adj_supply_public,.03
Anoka,2018,totcost_any,219.22
Anoka,2018,totcost_ccc,286.48
Anoka,2018,totcost_hr,281.87
Anoka,2018,totcost_public,9.81
Anoka,2018,quality_premium,1.37
Anoka,2019,adj_supply_any,.49
Anoka,2019,adj_supply_ccc,.27
Anoka,2019,adj_supply_hr,.14
Anoka,2019,adj_supply_public,.04
Anoka,2019,totcost_any,212.31
Anoka,2019,totcost_ccc,271.77
Anoka,2019,totcost_hr,266.94
Anoka,2019,totcost_public,43.57
Anoka,2019,quality_premium,1.32
Anoka,2020,adj_supply_any,.53
Anoka,2020,adj_supply_ccc,.28
Anoka,2020,adj_supply_hr,.14
Anoka,2020,adj_supply_public,.07
Anoka,2020,totcost_any,217.46
Anoka,2020,totcost_ccc,275.13
Anoka,2020,totcost_hr,270.25
Anoka,2020,totcost_public,148.44
Anoka,2020,quality_premium,1.3
Anoka,2021,adj_supply_any,.52
Anoka,2021,adj_supply_ccc,.3
Anoka,2021,adj_supply_hr,.16
Anoka,2021,adj_supply_public,.05
Anoka,2021,totcost_any,229.19
Anoka,2021,totcost_ccc,297.71
Anoka,2021,totcost_hr,290.31
Anoka,2021,totcost_public,8.59
Anoka,2021,quality_premium,1.28
Anoka,2022,adj_supply_any,.53
Anoka,2022,adj_supply_ccc,.34
Anoka,2022,adj_supply_hr,.19
Anoka,2022,adj_supply_public,.04
Anoka,2022,totcost_any,233.67
Anoka,2022,totcost_ccc,287.63
Anoka,2022,totcost_hr,289.68
Anoka,2022,totcost_public,8.59
Anoka,2022,quality_premium,1.3
Becker,2012,adj_supply_any,.6
Becker,2012,adj_supply_ccc,.02
Becker,2012,adj_supply_hr,
Becker,2012,adj_supply_public,.12
Becker,2012,totcost_any,107.08
Becker,2012,totcost_ccc,346.48
Becker,2012,totcost_hr,
Becker,2012,totcost_public,36.43
Becker,2012,quality_premium,
Becker,2013,adj_supply_any,.64
Becker,2013,adj_supply_ccc,.02
Becker,2013,adj_supply_hr,.08
Becker,2013,adj_supply_public,.12
Becker,2013,totcost_any,110.45
Becker,2013,totcost_ccc,189.51
Becker,2013,totcost_hr,141.58
Becker,2013,totcost_public,20.72
Becker,2013,quality_premium,1.13
Becker,2014,adj_supply_any,.6899999999999999
Becker,2014,adj_supply_ccc,.04
Becker,2014,adj_supply_hr,.11
Becker,2014,adj_supply_public,.17
Becker,2014,totcost_any,104.16
Becker,2014,totcost_ccc,188.52
Becker,2014,totcost_hr,144.58
Becker,2014,totcost_public,17.68
Becker,2014,quality_premium,1.14
Becker,2015,adj_supply_any,.67
Becker,2015,adj_supply_ccc,.07
Becker,2015,adj_supply_hr,.09
Becker,2015,adj_supply_public,.16
Becker,2015,totcost_any,107.11
Becker,2015,totcost_ccc,198.15
Becker,2015,totcost_hr,154.39
Becker,2015,totcost_public,18.19
Becker,2015,quality_premium,1.21
Becker,2016,adj_supply_any,.2
Becker,2016,adj_supply_ccc,.01
Becker,2016,adj_supply_hr,.03
Becker,2016,adj_supply_public,.07
Becker,2016,totcost_any,76.34
Becker,2016,totcost_ccc,186.06
Becker,2016,totcost_hr,141.43
Becker,2016,totcost_public,67.40000000000001
Becker,2016,quality_premium,1.44
Becker,2017,adj_supply_any,.45
Becker,2017,adj_supply_ccc,.02
Becker,2017,adj_supply_hr,.1
Becker,2017,adj_supply_public,.14
Becker,2017,totcost_any,122.46
Becker,2017,totcost_ccc,455.87
Becker,2017,totcost_hr,150.72
Becker,2017,totcost_public,84.58
Becker,2017,quality_premium,1.12
Becker,2018,adj_supply_any,.53
Becker,2018,adj_supply_ccc,.03
Becker,2018,adj_supply_hr,.14
Becker,2018,adj_supply_public,.14
Becker,2018,totcost_any,112.02
Becker,2018,totcost_ccc,225.55
Becker,2018,totcost_hr,163.09
Becker,2018,totcost_public,17.97
Becker,2018,quality_premium,1.26
Becker,2019,adj_supply_any,.46
Becker,2019,adj_supply_ccc,.04
Becker,2019,adj_supply_hr,.12
Becker,2019,adj_supply_public,.12
Becker,2019,totcost_any,109.61
Becker,2019,totcost_ccc,205.47
Becker,2019,totcost_hr,158.17
Becker,2019,totcost_public,13.01
Becker,2019,quality_premium,1.22
Becker,2020,adj_supply_any,.59
Becker,2020,adj_supply_ccc,.06
Becker,2020,adj_supply_hr,.16
Becker,2020,adj_supply_public,.17
Becker,2020,totcost_any,114.49
Becker,2020,totcost_ccc,205.43
Becker,2020,totcost_hr,159.32
Becker,2020,totcost_public,58.57
Becker,2020,quality_premium,1.22
Becker,2021,adj_supply_any,.61
Becker,2021,adj_supply_ccc,.1
Becker,2021,adj_supply_hr,.17
Becker,2021,adj_supply_public,.18
Becker,2021,totcost_any,121.31
Becker,2021,totcost_ccc,208.29
Becker,2021,totcost_hr,232.41
Becker,2021,totcost_public,13.52
Becker,2021,quality_premium,1.63
Becker,2022,adj_supply_any,.64
Becker,2022,adj_supply_ccc,.18
Becker,2022,adj_supply_hr,.22
Becker,2022,adj_supply_public,.15
Becker,2022,totcost_any,126.76
Becker,2022,totcost_ccc,200.44
Becker,2022,totcost_hr,170.92
