year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,share_hr,adj_supply_any,adj_supply_ccc,adj_supply_fcc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,access_index,state_adj_supply_any,state_adj_supply_ccc,state_adj_supply_fcc,state_adj_supply_hr,state_adj_supply_public,state_totcost_any,state_totcost_ccc,state_totcost_hr,state_totcost_public,state_quality_premium,state_access_index,state_share_hr,msa_adj_supply_any,msa_adj_supply_ccc,msa_adj_supply_fcc,msa_adj_supply_hr,msa_adj_supply_public,msa_totcost_any,msa_totcost_ccc,msa_totcost_hr,msa_totcost_public,msa_quality_premium,msa_access_index,msa_share_hr,rural_adj_supply_any,rural_adj_supply_ccc,rural_adj_supply_fcc,rural_adj_supply_hr,rural_adj_supply_public,rural_totcost_any,rural_totcost_ccc,rural_totcost_hr,rural_totcost_public,rural_quality_premium,rural_access_index,rural_share_hr,st_med_adj_supply_any,st_med_adj_supply_ccc,st_med_adj_supply_fcc,st_med_adj_supply_hr,st_med_adj_supply_public,st_med_totcost_any,st_med_totcost_ccc,st_med_totcost_hr,st_med_totcost_public,st_med_quality_premium,st_med_access_index,st_med_share_hr,p25_adj_supply_any,p75_adj_supply_any,p25_adj_supply_ccc,p75_adj_supply_ccc,p25_adj_supply_fcc,p75_adj_supply_fcc,p25_adj_supply_hr,p75_adj_supply_hr,p25_adj_supply_public,p75_adj_supply_public,p25_totcost_any,p75_totcost_any,p25_totcost_ccc,p75_totcost_ccc,p25_totcost_hr,p75_totcost_hr,p25_totcost_public,p75_totcost_public,p25_quality_premium,p75_quality_premium,p25_access_index,p75_access_index,p25_share_hr,p75_share_hr,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_fcc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_access_index,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,s_adj_supply_fcc,s_adj_supply_ccc,s_adj_supply_public,s_st_adj_supply_fcc,s_st_adj_supply_ccc,s_st_adj_supply_public
2012,647,581,Aitkin,.10188469,.56205237,.11210514,.39894724,0,.050999977,116.05154,302.28513,,137.25526,,.51472139,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.4841477,.2403207,.22799543,0,.015831575,196.62134,246.58629,,19.712482,,-.37644094,.034316644,.61584675,.11383594,.42683896,0,.075171843,114.67954,244.49701,,60.074459,,.60050148,.085426532,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,8.7099670e-06,1.0114985,0,.28940472,6.9309305e-09,.81040406,0,0,0,9.8190436e-32,112.10265,132.44038,135.44446,493.41721,,,27.250055,210.36153,,,-.28981727,1.2360978,0,2.3860295e-30,87,46,34,46,44,43,26,57,61,65,,76,,71,20,9,57,36,7
2013,647,581,Aitkin,.10016614,.71944702,.1146253,.53750175,.02240237,.067319967,118.64977,155.7787,162.53612,35.137897,1.2736937,.27749091,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,1.2433812e-09,.18093015,.49868381,.26189497,.22297435,.1008946,.013814513,203.77264,250.44026,275.11743,14.825048,1.4437652,-.16519982,.22278397,.65383154,.11700851,.45065215,.023433577,.086170882,118.26678,171.81586,199.8241,20.442402,1.5990849,.26352802,.11416462,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.086296298,.16545573,.010939512,1.2511861,0,.29525161,.000052289433,.96674377,0,0,0,1.1601052e-36,116.01418,133.47829,127.00002,177.94455,152.60004,173.29453,28.166723,43.416752,1.0677269,1.3847473,-.39585873,.62496299,0,4.8091950e-26,87,29,35,29,28,36,40,36,59,31,24,73,19,75,16,9,56,37,7
2014,647,581,Aitkin,.20186348,.97387409,.28936771,.54639459,.19714478,.13811174,115.86817,167.09505,173.39569,17.642954,1.3654681,.55505008,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,-1.3042655e-09,.23537487,.52920616,.29047146,.21199979,.11928331,.026734933,203.22955,253.19379,270.85358,9.3188543,1.3913519,-.19024478,.2673994,.67612052,.14201587,.43132392,.051425532,.1027807,114.65122,175.44817,185.02052,13.178819,1.4718029,.30347994,.18428911,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.093194909,.22529462,.12269218,1.568049,0,.40022939,.0027152754,.96471971,0,0,1.0897334e-36,.15561478,110.95998,135.44455,132.77779,202.9707,165.17813,183.43564,5.4166775,28.194502,1.299917,1.4685649,-.51513505,1.3348051,1.5252744e-20,.25221506,87,5,6,26,3,19,28,13,57,37,37,65,32,56,30,14,51,40,10
2015,647,581,Aitkin,.1933291,.68118143,.0036498054,.51705414,.02240237,.16047749,105.23385,187.41913,148.36508,15.500192,1.1715387,.37167066,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,-8.0739887e-10,.26617271,.50646752,.28420332,.19157569,.12824744,.030688496,207.41833,260.86038,274.01205,9.1041908,1.3735445,-.1838391,.30445868,.64009982,.13522397,.40461093,.053960562,.10026496,116.03575,178.34892,170.97406,12.816929,1.3395381,.29326153,.20509866,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.079697639,.26232243,.0079029733,1.2306159,0,0,.0014032484,.9814775,0,0,5.9319869e-26,.15836892,81.922394,125.45966,176.44452,211.50012,127.91671,159.36122,4.5097699,25.666719,1.0769722,1.2543651,-.61211151,1.2588156,1.5252744e-20,.27732089,87,33,74,28,51,13,40,33,44,54,29,59,20,76,1,24,49,41,10
2016,647,581,Aitkin,.22893025,.60229743,.0036002314,.43821967,.03136332,.16047749,106.30224,195.35806,153.89406,48.515102,1.165459,.33796638,.54536021,.23544866,.24874178,.11232919,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,1.9108426e-09,.30411661,.5114966,.29942033,.1728306,.14193203,.039245691,215.30611,272.64029,278.22534,8.6599627,1.3135979,-.15543061,.34662282,.59937966,.13340059,.36983588,.065106496,.096143164,124.29613,211.71506,193.60371,20.678654,1.4621577,.2479441,.23631039,.51103741,.20528212,.18031928,.091876112,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.060959227,.30563268,.000036488014,1.1371708,0,0,4.0138133e-07,.85715085,0,0,5.9319869e-26,.15836892,83.911064,135.26912,177.3334,222.69461,132.89156,152.72235,4.5097699,25.666719,.98971736,1.3202366,-.72961432,1.3578056,2.6055123e-08,.33160466,87,40,73,32,54,15,42,38,32,35,25,80,24,73,1,27,46,43,11
2017,647,581,Aitkin,.42250928,.51076168,.0036002314,.34668395,.07092832,.16047749,101.03747,398.47488,158.34077,49.125931,1.1581894,.48741353,.54869336,.25461191,.22409937,.12974453,.070539512,177.0968,266.64069,242.41585,16.556353,1.3080291,-4.6245544e-10,.34396562,.52594823,.32267669,.15580295,.15814857,.047571991,213.39621,269.72192,273.1868,8.7231159,1.2847642,-.15801862,.37822509,.58497655,.14603442,.33304632,.084434181,.10717747,119.19171,261.72543,185.56627,29.051991,1.3513918,.25207248,.28931466,.51884514,.22063032,.16179247,.11087692,.037836995,176.18246,264.85056,261.42206,7.5126877,1.2527828,-.064159445,.36346814,.00010075534,.88444006,0,0,9.4840374e-08,.61757785,9.3364507e-36,.13893768,5.9319869e-26,.15836892,71.829857,133.88756,359.83371,496.00052,137.54669,153.22224,4.5097699,25.666719,1.0533094,1.2021449,-.46058524,1.3535409,.0001716714,.77482671,87,55,73,42,39,19,8,16,33,72,30,66,32,68,1,31,41,46,13
2018,647,581,Aitkin,.38197502,.50375044,.0052803396,.33799261,.063057579,.16047749,104.72227,208.52121,159.82091,15.500192,1.1345612,.47553009,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,8.5295360e-10,.33501783,.49953386,.31540722,.14658515,.15337764,.037541486,241.53583,303.78687,307.64191,8.5899658,1.3150409,-.16242918,.37315604,.55946279,.13497612,.32268941,.069448829,.10179724,127.02396,206.62012,175.25334,12.716738,1.1995565,.25910828,.27417949,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.072905689,.3529003,6.4578571e-06,.82382983,0,0,3.3610467e-10,.60757226,0,.13571553,5.9319869e-26,.15836892,88.620735,135.54262,182.25008,236.38907,137.83607,163.45999,4.5097699,25.666719,.96288639,1.210701,-.58758342,1.3262707,.000032033593,.57585436,87,53,73,44,37,13,11,16,33,47,41,61,38,67,1,32,41,47,12
2012,20921,16279,Anoka,.022573592,.53164959,.22092582,.29883164,0,.011892154,179.71942,231.85849,,22.614832,,-.14756301,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.4841477,.2403207,.22799543,0,.015831575,196.62134,246.58629,,19.712482,,-.37644094,.034316644,.61584675,.11383594,.42683896,0,.075171843,114.67954,244.49701,,60.074459,,.60050148,.085426532,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,.38926455,.67612606,.13667455,.29955137,.20147339,.38117844,0,0,4.6826591e-20,.0072304397,163.47444,193.31912,217.37686,250.51132,,,11.327272,23.811665,,,-.40407336,.10983069,1.0825649e-19,.014328692,87,50,11,70,44,72,69,81,81,41,,15,,56,42,2,57,36,7
2013,20921,16279,Anoka,.1958441,.53398275,.23700322,.28435582,.097207561,.012623692,185.12231,235.83438,262.18979,17.898964,1.51293,-.077202693,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,1.2433812e-09,.18093015,.49868381,.26189497,.22297435,.1008946,.013814513,203.77264,250.44026,275.11743,14.825048,1.4437652,-.16519982,.22278397,.65383154,.11700851,.45065215,.023433577,.086170882,118.26678,171.81586,199.8241,20.442402,1.5990849,.26352802,.11416462,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.086296298,.16545573,.39337707,.67507625,.14975983,.31509483,.19366047,.35667098,.020985097,.13622838,2.7968304e-18,.012071177,170.36333,199.63504,225.15604,252.96526,246.64737,278.48895,10.959245,23.250046,1.4042194,1.5939267,-.28998756,.13066339,.056923591,.29237264,87,60,8,76,8,72,13,75,81,78,69,37,37,53,44,2,56,37,7
2014,20921,16279,Anoka,.25962132,.55403668,.25310594,.26690561,.11635535,.034025114,186.88736,244.85503,250.56847,10.178216,1.3773251,-.087061934,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,-1.3042655e-09,.23537487,.52920616,.29047146,.21199979,.11928331,.026734933,203.22955,253.19379,270.85358,9.3188543,1.3913519,-.19024478,.2673994,.67612052,.14201587,.43132392,.051425532,.1027807,114.65122,175.44817,185.02052,13.178819,1.4718029,.30347994,.18428911,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.093194909,.22529462,.41843349,.69910634,.1561197,.33849671,.17786723,.33070189,.031160738,.16056186,.0022002789,.047390491,169.7756,202.84142,233.29343,257.79364,238.3858,275.30127,6.7966461,11.908573,1.3157108,1.4981546,-.33381659,.17254382,.13080996,.35695255,87,58,12,77,8,76,12,79,81,79,73,17,35,48,46,6,51,40,10
