year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium
2012,647,581,Aitkin,.56205237,.11210514,,.050999977,116.05154,302.28513,,137.25526,,87,46,34,,43,61,65,,76,
2013,647,581,Aitkin,.71944702,.1146253,.02240237,.067319967,118.64977,155.7787,162.53612,35.137897,1.2736937,87,29,35,28,36,59,31,24,73,19
2014,647,581,Aitkin,.97387409,.28936771,.19714478,.13811174,115.86817,167.09505,173.39569,17.642954,1.3654681,87,5,6,3,19,57,37,37,65,32
2015,647,581,Aitkin,.68118143,.0036498054,.02240237,.16047749,105.23385,187.41913,148.36508,15.500192,1.1715387,87,33,74,51,13,44,54,29,59,20
2016,647,581,Aitkin,.60229743,.0036002314,.07083784,.16047749,106.30224,195.35806,153.89406,48.515102,1.165459,87,40,73,34,15,32,35,25,80,24
2017,647,581,Aitkin,.51076168,.0036002314,.086837478,.16047749,101.03747,398.47488,158.34077,49.125931,1.1581894,87,55,73,36,19,33,72,30,66,32
2012,20921,16279,Anoka,.53164959,.22092582,,.011892154,179.71942,231.85849,,22.614832,,87,50,11,,72,81,41,,15,
2013,20921,16279,Anoka,.53398275,.23700322,.097207561,.012623692,185.12231,235.83438,262.18979,17.898964,1.51293,87,60,8,8,72,81,78,69,37,37
2014,20921,16279,Anoka,.55403668,.25310594,.11635535,.034025114,186.88736,244.85503,250.56847,10.178216,1.3773251,87,58,12,8,76,81,79,73,17,35
2015,20921,16279,Anoka,.51862252,.24931757,.12234302,.028343286,193.76826,250.22649,251.90099,10.159186,1.3590509,87,65,8,8,83,81,77,78,20,42
2016,20921,16279,Anoka,.49618739,.24248429,.1379052,.033575282,198.91052,257.77936,256.69891,9.7948036,1.3456738,87,64,10,12,81,81,65,69,16,47
2017,20921,16279,Anoka,.50070536,.25125629,.1529417,.049911372,193.84897,260.40433,255.8322,9.9609709,1.3434887,87,58,11,16,76,81,46,72,14,52
2012,2630,2129,Becker,.60416424,.015841754,,.11605844,107.08465,346.47665,,36.426556,,87,41,73,,14,43,68,,23,
2013,2630,2129,Becker,.64036125,.023335047,.075674817,.11605725,110.44774,189.5098,141.58444,20.716515,1.1345842,87,39,73,12,16,45,59,14,52,12
2014,2630,2129,Becker,.68713516,.04140301,.10925473,.17040221,104.16108,188.51761,144.58102,17.682562,1.1414044,87,38,66,11,11,42,56,18,66,14
2015,2630,2129,Becker,.67100346,.070445463,.088227257,.15859917,107.11186,198.14806,154.39323,18.19488,1.2147795,87,34,55,15,14,48,62,33,72,25
2016,2630,2129,Becker,.5972293,.057008378,.11667535,.13129139,110.85967,199.02945,148.94498,31.172316,1.0363114,87,41,60,18,29,41,40,18,67,5
2017,2630,2129,Becker,.58941388,.067961842,.17518479,.14591774,106.99417,422.51248,153.43526,64.438995,1.1462771,87,40,58,10,24,42,74,29,75,26
2012,3547,2230,Beltrami,.6230216,.06424699,,.21000685,92.820969,240.04733,,78.102524,,87,36,57,,6,12,44,,60,
2013,3547,2230,Beltrami,.63834822,.07567212,0,.20764814,100.83675,171.173,249.91817,29.439751,1.9976624,87,40,53,70.5,6,22,52,62,69,62
2014,3547,2230,Beltrami,.61563766,.12844019,.042230301,.12098314,98.331818,193.54745,200.65683,17.098516,1.619625,87,47,38,35,28,29,60,46,64,55
2015,3547,2230,Beltrami,.55329394,.068428077,.0032984321,.14490744,93.387688,178.21933,158.56265,16.589237,1.2729149,87,53,58,57,17,21,48,38,65,34
2016,3547,2230,Beltrami,.51961637,.045095861,.016501984,.14294441,90.400139,168.60765,146.36603,24.292927,1.1111965,87,56,65,67,24,11,13,16,57,15
2017,3547,2230,Beltrami,.51907462,.049938131,.026119111,.16155052,90.113396,332.47626,241.63289,29.962656,1.5741096,87,51,62,67,18,17,64,69,51,67
2012,3652,3135,Benton,.61543185,.11675816,,.0090310639,129.86037,206.66479,,40.703285,,87,38,29,,77,73,26,,30,
2013,3652,3135,Benton,.66435719,.12538692,.024547659,.015632132,132.04605,197.30544,239.76779,18.910778,1.82947,87,35,30,25,67,71,63,59,43,57
2014,3652,3135,Benton,.70265412,.14158411,.030293329,.041234754,129.43433,200.7744,228.713,13.033881,1.7235198,87,37,33,42,71,73,62,64,41,61
2015,3652,3135,Benton,.64282387,.13517666,.053770822,.040792417,128.07301,199.38863,199.56435,13.006777,1.5264118,87,41,31,28,73,71,64,60,42,64
2016,3652,3135,Benton,.65968817,.18066531,.064136177,.032050341,142.78761,204.7753,192.21242,16.540901,1.3323442,87,33,16,36,82,74,46,51,39,44
2017,3652,3135,Benton,.61748356,.18046476,.085431509,.028891254,143.85805,216.37959,206.12177,22.198845,1.4543948,87,34,24,37,82,76,25,61,39,61
2012,467,393,Big Stone,.53005815,1.1496626e-14,,.095200956,87.521477,377.48422,,61.905067,,87,52,79,,24,6,71,,47,
