adj_supply_hr,adj_supply_any,year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_ccc,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,share_hr
,.56205237,2012,647,581,Aitkin,.11210514,.050999977,116.05154,302.28513,,137.25526,,87,46,34,,43,61,65,,76,,
.02240237,.71944702,2013,647,581,Aitkin,.1146253,.067319967,118.64977,155.7787,162.53612,35.137897,1.2736937,87,29,35,28,36,59,31,24,73,19,.031138318
.19714478,.97387409,2014,647,581,Aitkin,.28936771,.13811174,115.86817,167.09505,173.39569,17.642954,1.3654681,87,5,6,3,19,57,37,37,65,32,.20243354
.02240237,.68118143,2015,647,581,Aitkin,.0036498054,.16047749,105.23385,187.41913,148.36508,15.500192,1.1715387,87,33,74,51,13,44,54,29,59,20,.032887522
.07083784,.60229743,2016,647,581,Aitkin,.0036002314,.16047749,106.30224,195.35806,153.89406,48.515102,1.165459,87,40,73,34,15,32,35,25,80,24,.11761273
.086837478,.51076168,2017,647,581,Aitkin,.0036002314,.16047749,101.03747,398.47488,158.34077,49.125931,1.1581894,87,55,73,36,19,33,72,30,66,32,.17001565
.073754847,.50375044,2018,647,581,Aitkin,.0052803396,.16047749,104.72227,208.52121,159.82091,15.500192,1.1345612,87,53,73,35,13,33,47,41,61,38,.14641148
,.53164959,2012,20921,16279,Anoka,.22092582,.011892154,179.71942,231.85849,,22.614832,,87,50,11,,72,81,41,,15,,
.097207561,.53398275,2013,20921,16279,Anoka,.23700322,.012623692,185.12231,235.83438,262.18979,17.898964,1.51293,87,60,8,8,72,81,78,69,37,37,.18204251
.11635535,.55403668,2014,20921,16279,Anoka,.25310594,.034025114,186.88736,244.85503,250.56847,10.178216,1.3773251,87,58,12,8,76,81,79,73,17,35,.21001381
.12234302,.51862252,2015,20921,16279,Anoka,.24931757,.028343286,193.76826,250.22649,251.90099,10.159186,1.3590509,87,65,8,8,83,81,77,78,20,42,.23589994
.1379052,.49618739,2016,20921,16279,Anoka,.24248429,.033575282,198.91052,257.77936,256.69891,9.7948036,1.3456738,87,64,10,12,81,81,65,69,16,47,.27792966
.1529417,.50070536,2017,20921,16279,Anoka,.25125629,.049911372,193.84897,260.40433,255.8322,9.9609709,1.3434887,87,58,11,16,76,81,46,72,14,52,.3054525
.15180382,.47385463,2018,20921,16279,Anoka,.25140443,.033578508,219.2216,286.48306,281.8735,9.8093386,1.3662646,87,60,11,7,79,81,78,76,22,65,.32035947
,.60416424,2012,2630,2129,Becker,.015841754,.11605844,107.08465,346.47665,,36.426556,,87,41,73,,14,43,68,,23,,
.075674817,.64036125,2013,2630,2129,Becker,.023335047,.11605725,110.44774,189.5098,141.58444,20.716515,1.1345842,87,39,73,12,16,45,59,14,52,12,.11817519
.10925473,.68713516,2014,2630,2129,Becker,.04140301,.17040221,104.16108,188.51761,144.58102,17.682562,1.1414044,87,38,66,11,11,42,56,18,66,14,.15900035
.088227257,.67100346,2015,2630,2129,Becker,.070445463,.15859917,107.11186,198.14806,154.39323,18.19488,1.2147795,87,34,55,15,14,48,62,33,72,25,.13148555
.11667535,.5972293,2016,2630,2129,Becker,.057008378,.13129139,110.85967,199.02945,148.94498,31.172316,1.0363114,87,41,60,18,29,41,40,18,67,5,.19536106
.17518479,.58941388,2017,2630,2129,Becker,.067961842,.14591774,106.99417,422.51248,153.43526,64.438995,1.1462771,87,40,58,10,24,42,74,29,75,26,.29721862
.13823685,.53452891,2018,2630,2129,Becker,.034399264,.13866618,112.02175,225.55208,163.08945,17.97163,1.258368,87,42,65,12,25,43,62,45,68,54,.25861436
,.6230216,2012,3547,2230,Beltrami,.06424699,.21000685,92.820969,240.04733,,78.102524,,87,36,57,,6,12,44,,60,,
0,.63834822,2013,3547,2230,Beltrami,.07567212,.20764814,100.83675,171.173,249.91817,29.439751,1.9976624,87,40,53,70.5,6,22,52,62,69,62,0
