year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,share_hr,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium
2012,647,581,Aitkin,.56205237,.11210514,,.050999977,116.05154,302.28513,,137.25526,,87,,46,34,,43,,61,65,,76,
2013,647,581,Aitkin,.71944702,.1146253,.02240237,.067319967,118.64977,155.7787,162.53612,35.137897,1.2736937,87,.031138318,29,35,28,36,31,59,31,24,73,19
2014,647,581,Aitkin,.97387409,.28936771,.19714478,.13811174,115.86817,167.09505,173.39569,17.642954,1.3654681,87,.20243354,5,6,3,19,10,57,37,37,65,32
2015,647,581,Aitkin,.68118143,.0036498054,.02240237,.16047749,105.23385,187.41913,148.36508,15.500192,1.1715387,87,.032887522,33,74,51,13,51,44,54,29,59,20
2016,647,581,Aitkin,.60229743,.0036002314,.07083784,.16047749,106.30224,195.35806,153.89406,48.515102,1.165459,87,.11761273,40,73,34,15,37,32,35,25,80,24
2017,647,581,Aitkin,.51076168,.0036002314,.086837478,.16047749,101.03747,398.47488,158.34077,49.125931,1.1581894,87,.17001565,55,73,36,19,29,33,72,30,66,32
2018,647,581,Aitkin,.50375044,.0052803396,.073754847,.16047749,104.72227,208.52121,159.82091,15.500192,1.1345612,87,.14641148,53,73,35,13,35,33,47,41,61,38
2012,20921,16279,Anoka,.53164959,.22092582,,.011892154,179.71942,231.85849,,22.614832,,87,,50,11,,72,,81,41,,15,
2013,20921,16279,Anoka,.53398275,.23700322,.097207561,.012623692,185.12231,235.83438,262.18979,17.898964,1.51293,87,.18204251,60,8,8,72,8,81,78,69,37,37
2014,20921,16279,Anoka,.55403668,.25310594,.11635535,.034025114,186.88736,244.85503,250.56847,10.178216,1.3773251,87,.21001381,58,12,8,76,8,81,79,73,17,35
2015,20921,16279,Anoka,.51862252,.24931757,.12234302,.028343286,193.76826,250.22649,251.90099,10.159186,1.3590509,87,.23589994,65,8,8,83,7,81,77,78,20,42
2016,20921,16279,Anoka,.49618739,.24248429,.1379052,.033575282,198.91052,257.77936,256.69891,9.7948036,1.3456738,87,.27792966,64,10,12,81,8,81,65,69,16,47
2017,20921,16279,Anoka,.50070536,.25125629,.1529417,.049911372,193.84897,260.40433,255.8322,9.9609709,1.3434887,87,.3054525,58,11,16,76,10,81,46,72,14,52
2018,20921,16279,Anoka,.47385463,.25140443,.15180382,.033578508,219.2216,286.48306,281.8735,9.8093386,1.3662646,87,.32035947,60,11,7,79,6,81,78,76,22,65
2012,2630,2129,Becker,.60416424,.015841754,,.11605844,107.08465,346.47665,,36.426556,,87,,41,73,,14,,43,68,,23,
