year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,share_hr,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,access_index,state_adj_supply_any,state_adj_supply_ccc,state_adj_supply_hr,state_adj_supply_public,state_totcost_any,state_totcost_ccc,state_totcost_hr,state_totcost_public,state_quality_premium,state_access_index,state_share_hr,msa_adj_supply_any,msa_adj_supply_ccc,msa_adj_supply_hr,msa_adj_supply_public,msa_totcost_any,msa_totcost_ccc,msa_totcost_hr,msa_totcost_public,msa_quality_premium,msa_access_index,msa_share_hr,rural_adj_supply_any,rural_adj_supply_ccc,rural_adj_supply_hr,rural_adj_supply_public,rural_totcost_any,rural_totcost_ccc,rural_totcost_hr,rural_totcost_public,rural_quality_premium,rural_access_index,rural_share_hr,st_med_adj_supply_any,st_med_adj_supply_ccc,st_med_adj_supply_hr,st_med_adj_supply_public,st_med_totcost_any,st_med_totcost_ccc,st_med_totcost_hr,st_med_totcost_public,st_med_quality_premium,st_med_access_index,st_med_share_hr,N_county,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_access_index,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium
2012,647,581,Aitkin,,.56205237,.11210514,,.050999977,116.05154,302.28513,,137.25526,,.51472139,.5348947,.19158287,,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,,,,,,,,,,,,,.61584675,.11383594,,.075171843,114.67954,244.49701,,60.074459,,.60050148,,.49562806,.16701594,,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,,87,46,34,,43,,57,61,65,,76,
2013,647,581,Aitkin,.021739248,.71944702,.1146253,.02240237,.067319967,118.64977,155.7787,162.53612,35.137897,1.2736937,.19851452,.5584662,.2060665,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,.0012053046,.13281661,,,,,,,,,,,,.65383154,.11700851,.023433577,.086170882,118.26678,171.81586,199.8241,20.442402,1.5990849,.18068115,.031784508,.5121603,.1799643,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.032307398,.1087542,87,29,35,28,36,33,42,59,31,24,73,19
2014,647,581,Aitkin,.070587277,.97387409,.28936771,.19714478,.13811174,115.86817,167.09505,173.39569,17.642954,1.3654681,.4577454,.58581603,.23326772,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,.0020772035,.15582444,,,,,,,,,,,,.67612052,.14201587,.051425532,.1027807,114.65122,175.44817,185.02052,13.178819,1.4718029,.21532698,.061591212,.54117668,.20257875,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.047465313,.1375131,87,5,6,3,19,27,12,57,37,37,65,32
2015,647,581,Aitkin,.015608675,.68118143,.0036498054,.02240237,.16047749,105.23385,187.41913,148.36508,15.500192,1.1715387,.19232002,.5579595,.22679776,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,.002564329,.17892995,,,,,,,,,,,,.64009982,.13522397,.053960562,.10026496,116.03575,178.34892,170.97406,12.816929,1.3395381,.22015743,.078600131,.51399022,.20070736,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.034083158,.16881365,87,33,74,51,13,56,52,44,54,29,59,20
2016,647,581,Aitkin,.053371798,.60229743,.0036002314,.07083784,.16047749,106.30224,195.35806,153.89406,48.515102,1.165459,.33955848,.54536021,.23544866,.11996042,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,-.020886343,.21625373,,,,,,,,,,,,.59937966,.13340059,.076991923,.096143164,124.29613,211.71506,193.60371,20.678654,1.4621577,.19057089,.12273604,.51103741,.20528212,.10215108,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.039769154,.22033915,87,40,73,34,15,57,23,32,35,25,80,24
2017,647,581,Aitkin,.18868499,.51076168,.0036002314,.086837478,.16047749,101.03747,398.47488,158.34077,49.125931,1.1581894,.25911266,.54869336,.25461191,.13730223,.070539512,177.0968,266.64069,242.41585,16.556353,1.3080291,-.018083453,.24132439,,,,,,,,,,,,.58497655,.14603442,.098039187,.10717747,119.19171,261.72543,185.56627,29.051991,1.3513918,.19906473,.1612135,.51884514,.22063032,.11980285,.037836995,176.18246,264.85056,261.42206,7.5126877,1.2527828,-.050442807,.25949246,87,55,73,36,19,26,29,33,72,30,66,32
2018,647,581,Aitkin,.14267275,.50375044,.0052803396,.073754847,.16047749,104.72227,208.52121,159.82091,15.500192,1.1345612,.19034384,.52262598,.2458825,.13033116,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,-.025971804,.2455937,,,,,,,,,,,,.55946279,.13497612,.084333129,.10179724,127.02396,206.62012,175.25334,12.716738,1.1995565,.18644635,.14950036,.48326793,.21080883,.11658644,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.063315108,.25454924,87,53,73,35,13,37,40,33,47,41,61,38
2012,20921,16279,Anoka,,.53164959,.22092582,,.011892154,179.71942,231.85849,,22.614832,,-.14756301,.5348947,.19158287,,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,,.4841477,.2403207,,.015831575,196.62134,246.58629,,19.712482,,-.37644094,,,,,,,,,,,,,.49562806,.16701594,,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,,87,50,11,,72,,81,81,41,,15,
2013,20921,16279,Anoka,.17182259,.53398275,.23700322,.097207561,.012623692,185.12231,235.83438,262.18979,17.898964,1.51293,-.017384427,.5584662,.2060665,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,.0012053046,.13281661,.49868381,.26189497,.1008946,.013814513,203.77264,250.44026,275.11743,14.825048,1.4437652,-.10785847,.19421174,,,,,,,,,,,,.5121603,.1799643,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.032307398,.1087542,87,60,8,8,72,6,74,81,78,69,37,37
2014,20921,16279,Anoka,.19598198,.55403668,.25310594,.11635535,.034025114,186.88736,244.85503,250.56847,10.178216,1.3773251,-.046669845,.58581603,.23326772,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,.0020772035,.15582444,.52920616,.29047146,.11928331,.026734933,203.22955,253.19379,270.85358,9.3188543,1.3913519,-.12775677,.21319695,,,,,,,,,,,,.54117668,.20257875,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.047465313,.1375131,87,58,12,8,76,5,75,81,79,73,17,35
2015,20921,16279,Anoka,.22583567,.51862252,.24931757,.12234302,.028343286,193.76826,250.22649,251.90099,10.159186,1.3590509,-.067359537,.5579595,.22679776,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,.002564329,.17892995,.50646752,.28420332,.12824744,.030688496,207.41833,260.86038,274.01205,9.1041908,1.3735445,-.12965491,.23989481,,,,,,,,,,,,.51399022,.20070736,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.034083158,.16881365,87,65,8,8,83,5,75,81,77,78,20,42
2016,20921,16279,Anoka,.25956523,.49618739,.24248429,.1379052,.033575282,198.91052,257.77936,256.69891,9.7948036,1.3456738,-.064957544,.54536021,.23544866,.11996042,.061169744,180.23764,249.16425,248.77882,13.291072,1.3652824,-.020886343,.21625373,.5114966,.29942033,.14289236,.039245691,215.30611,272.64029,278.22534,8.6599627,1.3135979,-.13189498,.26534769,,,,,,,,,,,,.51103741,.20528212,.10215108,.032526162,180.67175,262.80194,265.64154,7.4830885,1.2960076,-.039769154,.22033915,87,64,10,12,81,4,72,81,65,69,16,47
