county,year,varname,value_b2
Aitkin,2012,rank_adj_supply_any,46
Aitkin,2012,rank_adj_supply_ccc,34
Aitkin,2012,rank_adj_supply_hr,
Aitkin,2012,rank_adj_supply_public,43
Aitkin,2012,rank_totcost_any,61
Aitkin,2012,rank_totcost_ccc,65
Aitkin,2012,rank_totcost_hr,
Aitkin,2012,rank_totcost_public,76
Aitkin,2012,rank_quality_premium,
Aitkin,2013,rank_adj_supply_any,29
Aitkin,2013,rank_adj_supply_ccc,35
Aitkin,2013,rank_adj_supply_hr,28
Aitkin,2013,rank_adj_supply_public,36
Aitkin,2013,rank_totcost_any,59
Aitkin,2013,rank_totcost_ccc,31
Aitkin,2013,rank_totcost_hr,24
Aitkin,2013,rank_totcost_public,73
Aitkin,2013,rank_quality_premium,19
Aitkin,2014,rank_adj_supply_any,5
Aitkin,2014,rank_adj_supply_ccc,6
Aitkin,2014,rank_adj_supply_hr,3
Aitkin,2014,rank_adj_supply_public,19
Aitkin,2014,rank_totcost_any,57
Aitkin,2014,rank_totcost_ccc,37
Aitkin,2014,rank_totcost_hr,37
Aitkin,2014,rank_totcost_public,65
Aitkin,2014,rank_quality_premium,32
Aitkin,2015,rank_adj_supply_any,33
Aitkin,2015,rank_adj_supply_ccc,74
Aitkin,2015,rank_adj_supply_hr,51
Aitkin,2015,rank_adj_supply_public,13
Aitkin,2015,rank_totcost_any,44
Aitkin,2015,rank_totcost_ccc,54
Aitkin,2015,rank_totcost_hr,29
Aitkin,2015,rank_totcost_public,59
Aitkin,2015,rank_quality_premium,20
Aitkin,2016,rank_adj_supply_any,86
Aitkin,2016,rank_adj_supply_ccc,59
Aitkin,2016,rank_adj_supply_hr,76
Aitkin,2016,rank_adj_supply_public,84.5
Aitkin,2016,rank_totcost_any,67
Aitkin,2016,rank_totcost_ccc,45
Aitkin,2016,rank_totcost_hr,50
Aitkin,2016,rank_totcost_public,80
Aitkin,2016,rank_quality_premium,52
Aitkin,2017,rank_adj_supply_any,39
Aitkin,2017,rank_adj_supply_ccc,71
Aitkin,2017,rank_adj_supply_hr,36
Aitkin,2017,rank_adj_supply_public,8
Aitkin,2017,rank_totcost_any,18
Aitkin,2017,rank_totcost_ccc,68
Aitkin,2017,rank_totcost_hr,29
Aitkin,2017,rank_totcost_public,55
Aitkin,2017,rank_quality_premium,23
Aitkin,2018,rank_adj_supply_any,53
Aitkin,2018,rank_adj_supply_ccc,73
Aitkin,2018,rank_adj_supply_hr,35
Aitkin,2018,rank_adj_supply_public,13
Aitkin,2018,rank_totcost_any,33
Aitkin,2018,rank_totcost_ccc,47
Aitkin,2018,rank_totcost_hr,41
Aitkin,2018,rank_totcost_public,61
Aitkin,2018,rank_quality_premium,38
Aitkin,2019,rank_adj_supply_any,77
Aitkin,2019,rank_adj_supply_ccc,72
Aitkin,2019,rank_adj_supply_hr,53
Aitkin,2019,rank_adj_supply_public,26
Aitkin,2019,rank_totcost_any,41
Aitkin,2019,rank_totcost_ccc,19
Aitkin,2019,rank_totcost_hr,40
Aitkin,2019,rank_totcost_public,85
Aitkin,2019,rank_quality_premium,33
Aitkin,2020,rank_adj_supply_any,29
Aitkin,2020,rank_adj_supply_ccc,70
Aitkin,2020,rank_adj_supply_hr,62
Aitkin,2020,rank_adj_supply_public,12
Aitkin,2020,rank_totcost_any,37
Aitkin,2020,rank_totcost_ccc,9
Aitkin,2020,rank_totcost_hr,29
Aitkin,2020,rank_totcost_public,17
Aitkin,2020,rank_quality_premium,12
Aitkin,2021,rank_adj_supply_any,42
Aitkin,2021,rank_adj_supply_ccc,61
Aitkin,2021,rank_adj_supply_hr,26
Aitkin,2021,rank_adj_supply_public,27
Aitkin,2021,rank_totcost_any,71
Aitkin,2021,rank_totcost_ccc,6
Aitkin,2021,rank_totcost_hr,28
Aitkin,2021,rank_totcost_public,62
Aitkin,2021,rank_quality_premium,14
Aitkin,2022,rank_adj_supply_any,48
Aitkin,2022,rank_adj_supply_ccc,80
Aitkin,2022,rank_adj_supply_hr,53
Aitkin,2022,rank_adj_supply_public,19
Aitkin,2022,rank_totcost_any,24
Aitkin,2022,rank_totcost_ccc,3
Aitkin,2022,rank_totcost_hr,13
Aitkin,2022,rank_totcost_public,77
Aitkin,2022,rank_quality_premium,9
Anoka,2012,rank_adj_supply_any,50
Anoka,2012,rank_adj_supply_ccc,11
Anoka,2012,rank_adj_supply_hr,
Anoka,2012,rank_adj_supply_public,72
Anoka,2012,rank_totcost_any,81
Anoka,2012,rank_totcost_ccc,41
Anoka,2012,rank_totcost_hr,
Anoka,2012,rank_totcost_public,15
Anoka,2012,rank_quality_premium,
Anoka,2013,rank_adj_supply_any,60
Anoka,2013,rank_adj_supply_ccc,8
Anoka,2013,rank_adj_supply_hr,8
Anoka,2013,rank_adj_supply_public,72
Anoka,2013,rank_totcost_any,81
Anoka,2013,rank_totcost_ccc,78
Anoka,2013,rank_totcost_hr,69
Anoka,2013,rank_totcost_public,37
Anoka,2013,rank_quality_premium,37
Anoka,2014,rank_adj_supply_any,58
Anoka,2014,rank_adj_supply_ccc,12
Anoka,2014,rank_adj_supply_hr,8
Anoka,2014,rank_adj_supply_public,76
Anoka,2014,rank_totcost_any,81
Anoka,2014,rank_totcost_ccc,79
Anoka,2014,rank_totcost_hr,73
Anoka,2014,rank_totcost_public,17
Anoka,2014,rank_quality_premium,35
Anoka,2015,rank_adj_supply_any,65
Anoka,2015,rank_adj_supply_ccc,8
Anoka,2015,rank_adj_supply_hr,8
Anoka,2015,rank_adj_supply_public,83
Anoka,2015,rank_totcost_any,81
Anoka,2015,rank_totcost_ccc,77
Anoka,2015,rank_totcost_hr,78
Anoka,2015,rank_totcost_public,20
Anoka,2015,rank_quality_premium,42
Anoka,2016,rank_adj_supply_any,7
Anoka,2016,rank_adj_supply_ccc,6
Anoka,2016,rank_adj_supply_hr,7
Anoka,2016,rank_adj_supply_public,43
Anoka,2016,rank_totcost_any,82
Anoka,2016,rank_totcost_ccc,63
Anoka,2016,rank_totcost_hr,61
Anoka,2016,rank_totcost_public,5
Anoka,2016,rank_quality_premium,19
Anoka,2017,rank_adj_supply_any,42
Anoka,2017,rank_adj_supply_ccc,10
Anoka,2017,rank_adj_supply_hr,12
Anoka,2017,rank_adj_supply_public,66
Anoka,2017,rank_totcost_any,81
Anoka,2017,rank_totcost_ccc,45
Anoka,2017,rank_totcost_hr,68
