year,county,s_county_N_below_supply,s_county_N_above_cost,s_county_N_below_quality
2016,Aitkin,.52671754,0,.64885497
2017,Aitkin,.5648855,0,.29770991
2018,Aitkin,.53435117,0,.23664123
2012,Aitkin,.53435117,.022900764,
2014,Aitkin,.45801526,.015267176,.1221374
2015,Aitkin,.50381678,0,.030534351
2013,Aitkin,.45801526,0,.10687023
2016,Anoka,.64717162,.75215721,.65316397
2013,Anoka,.57861936,.74328858,.66970277
2017,Anoka,.62631834,.69511026,.66658676
2018,Anoka,.63878238,.78763181,.69127518
2015,Anoka,.6344679,.81232023,.67209971
2014,Anoka,.59036434,.75862896,.65795779
2012,Anoka,.53116012,.71692234,
2016,Becker,.50627613,.0020920502,.47280335
2015,Becker,.51255232,0,.22175732
2013,Becker,.48117155,0,.41841003
2012,Becker,.50209206,0,
2014,Becker,.47071129,0,.374477
2018,Becker,.52301258,.012552301,.57322174
2017,Becker,.52928871,.010460251,.57322174
2013,Hubbard,.64319247,0,.11737089
2014,Otter Tail,.5,0,.070987657
2012,Mahnomen,.82608694,0,
2012,Hubbard,.64319247,0,
2016,Hubbard,.62910795,.014084507,.56807512
2012,Otter Tail,.58333331,0,
2018,Otter Tail,.63117284,0,.7638889
2014,Mahnomen,.51086956,0,.52173913
2015,Hubbard,.63380283,0,.36619717
2016,Otter Tail,.62191355,0,.34413579
2015,Otter Tail,.60802472,0,.087962963
2017,Hubbard,.64788735,0,.42723006
2018,Hubbard,.63849765,0,.41784036
2017,Mahnomen,.5869565,0,.54347825
2015,Mahnomen,.56521738,0,.53260869
2018,Mahnomen,.86956519,0,.57608694
2017,Otter Tail,.68209875,0,.62345678
2014,Hubbard,.65727699,0,.33802816
2013,Mahnomen,.84782606,0,.63043481
2016,Mahnomen,.5869565,0,.52173913
2013,Otter Tail,.56481481,0,.047839507
2015,Beltrami,.59486169,0,.079051383
2018,Beltrami,.6007905,0,.26679841
2016,Beltrami,.59881425,0,.31027669
2013,Cass,.7390244,.0024390244,.14390244
2017,Beltrami,.6007905,.0019762847,.14426878
2014,Beltrami,.59090906,.0019762847,.088932805
2013,Beltrami,.57707512,0,.13636364
2012,Beltrami,.55928856,.011857707,
2016,Cass,.68780488,.0097560976,.40243903
2017,Cass,.7390244,.043902438,.40487805
2012,Cass,.75365853,.012195121,
2014,Cass,.65853661,.058536585,.1902439
2015,Cass,.67317075,.0097560976,.20243903
2018,Cass,.7609756,.012195121,.48536587
2014,Benton,.33846155,0,0
2013,Benton,.39384615,0,0
2017,Benton,.42153847,.013846153,.15692307
2015,Benton,.3876923,0,.15538462
2012,Benton,.43076923,0,
2016,Benton,.34,0,.12461539
2018,Benton,.35692307,.015384615,.15692307
2014,Morrison,.48780489,0,.29756099
2013,Morrison,.5219512,0,.024390243
2015,Morrison,.54146343,.0024390244,.36341465
2017,Morrison,.48780489,.0024390244,.23170732
2016,Morrison,.49756098,0,.41219512
2012,Morrison,.56829268,0,
2018,Morrison,.5487805,.0073170732,.47073171
2015,Big Stone,.3888889,0,.1388889
2017,Big Stone,.3888889,0,1
2018,Big Stone,.3611111,0,1
2012,Big Stone,.375,0,
2012,Lac qui Parle,.52173913,0,
2014,Big Stone,.3611111,0,.125
2013,Big Stone,.375,0,.125
2016,Big Stone,.3888889,0,1
2015,Traverse,.35294119,0,.11764706
2018,Traverse,.35294119,0,1
2017,Lac qui Parle,.78260869,.032608695,.97826087
2016,Traverse,.35294119,0,1
2017,Traverse,.35294119,0,1
2014,Traverse,.35294119,0,.11764706
2016,Lac qui Parle,.51086956,.032608695,.41304347
2018,Lac qui Parle,.51086956,.021739131,.96739131
2013,Traverse,.35294119,0,.11764706
2013,Lac qui Parle,.52173913,0,.29347825
2014,Lac qui Parle,.51086956,.010869565,.22826087
2015,Lac qui Parle,.51086956,.021739131,.30434781
2012,Traverse,.35294119,0,
2018,Blue Earth,.39317507,.0089020776,.16913946
2012,Blue Earth,.28189912,.0059347181,
2017,Blue Earth,.37833828,.0089020776,.078635015
2015,Blue Earth,.36053413,.002967359,.032640949
2014,Blue Earth,.3486647,.019287834,.032640949
2013,Blue Earth,.28189912,.019287834,.002967359
2015,Waseca,.62272727,0,0
2016,Blue Earth,.3397626,.025222551,.075667657
2015,Le Sueur,.2987805,.018292682,.033536587
2017,Le Sueur,.33841464,.024390243,.042682927
2012,Faribault,.53174603,0,
2016,Waseca,.88636363,.022727273,.027272727
2018,Le Sueur,.32317072,0,.067073174
2015,Faribault,.53174603,.0079365084,.35714287
2014,Le Sueur,.28048781,.0060975607,.033536587
2018,Waseca,.90454543,0,.66818184
2012,Waseca,.10909091,0,
2012,Le Sueur,.25304878,0,
2016,Faribault,.47619048,.0079365084,.37301588
2013,Faribault,.58730161,0,.1031746
2017,Waseca,.90909094,0,.031818181
2014,Waseca,.45909092,0,0
2017,Faribault,.52380955,.0079365084,.50793654
2016,Le Sueur,.28048781,.024390243,.10365853
2013,Waseca,.2090909,0,0
2013,Le Sueur,.25304878,0,0
2014,Faribault,.53968257,0,.079365082
2018,Faribault,.48412699,0,.3888889
2016,Brown,.19303797,0,.1329114
2012,Brown,.19620253,0,
2017,Brown,.17088607,0,.044303797
2018,Brown,.18670887,0,.022151899
2015,Brown,.16455697,0,.069620252
2013,Brown,.19303797,0,.003164557
2014,Brown,.19620253,0,.075949363
2014,Redwood,.52866244,0,.012738854
2018,Redwood,.51592356,0,.22292994
2016,Redwood,.57961786,0,.41401273
2013,Redwood,.53503186,0,.012738854
2017,Redwood,.58598727,0,.29299363
2012,Redwood,.52229297,0,
2015,Redwood,.49044585,0,.012738854
2016,Carlton,.50564975,.01977401,.63841808
2012,Carlton,.65254235,.0028248588,
2014,Carlton,.45480227,.0056497175,.36440679
2013,Carlton,.50282484,0,.042372882
2017,Carlton,.4519774,.059322033,.67231637
2015,Carlton,.48022598,.011299435,.45762712
2018,Carlton,.44067797,.0028248588,.42937854
2015,Carver,.54704595,.80889863,.46608314
2012,Carver,.58789206,.80889863,
2014,Carver,.58716267,.77680522,.31947485
2013,Carver,.59883296,.78045225,.4186725
2017,Carver,.49525893,.81692195,.51203501
2018,Carver,.5514223,.79722828,.4449307
2016,Carver,.54850477,.8074398,.48577681
2018,Chippewa,.41139239,0,.65189874
2015,Chippewa,.34810126,0,.10126583
2014,Chippewa,.34177214,0,.10759494
2012,Chippewa,.34810126,0,
2013,Chippewa,.35443038,0,.12658228
2016,Chippewa,.32278481,0,.1329114
2017,Chippewa,.34177214,0,.27215189
2012,Chisago,.6527546,.15859766,
2016,Chisago,.72621036,.038397327,.24040067
2018,Chisago,.68948245,.071786307,.1736227
2017,Chisago,.60934889,.048414022,.18864775
2013,Chisago,.65943241,.096828043,.26377296
2015,Chisago,.65776294,.036727879,.22203673
2018,Isanti,.67441863,.025839793,.54263568
2014,Chisago,.63105178,.048414022,.23706177
2017,Pine,.76056337,.014084507,.45422536
2013,Isanti,.69250643,.036175709,.2248062
2015,Isanti,.71576226,.072351418,.43152454
2015,Washington,.62765956,.78125,.44348404
2012,Isanti,.70801032,.072351418,
2014,Isanti,.70801032,.087855294,.28940567
2012,Washington,.58244681,.87466753,
2016,Washington,.5625,.65192819,.50232714
2012,Pine,.74295777,.038732395,
2016,Isanti,.76485789,.043927647,.58656329
2018,Washington,.55784577,.58377659,.49268618
2016,Pine,.76056337,.063380279,.32042253
2013,Washington,.64860374,.83676863,.67154253
2014,Pine,.72887325,.01056338,.36619717
2017,Washington,.55452126,.65591753,.49069148
2017,Isanti,.76485789,.056847546,.51937985
2014,Washington,.6200133,.78756648,.44481382
2015,Pine,.75704223,0,.31338027
2013,Pine,.72535211,.014084507,.31690142
2018,Pine,.76408452,.0070422534,.33450705
2016,Clay,.43187067,.0011547344,.080831409
2018,Clay,.39030024,0,.21247113
2014,Clay,.39376444,0,.036951501
2013,Clay,.32678983,0,.032332562
2015,Clay,.40762123,0,.030023094
2012,Clay,.32448035,.0046189376,
2017,Clay,.38799077,0,.28060046
2016,Clearwater,.69,0,.54000002
2015,Clearwater,.63,0,.16
2014,Clearwater,.69999999,0,.18000001
2017,Clearwater,.70999998,0,.22
2012,Clearwater,.74000001,0,
2013,Clearwater,.74000001,0,.20999999
2018,Clearwater,.69,0,.95999998
2017,Cook,.46875,.03125,.78125
2016,Cook,.4375,0,.78125
2012,Cook,.5,.03125,
2015,Cook,.4375,.03125,.25
2014,Cook,.4375,.0625,.25
2013,Cook,.5,.125,.25
2018,Cook,.46875,.03125,.40625
2012,Cottonwood,.33519554,0,
2016,Cottonwood,.41340783,0,.39664805
2014,Cottonwood,.37430167,0,.039106146
2015,Cottonwood,.2793296,0,.05027933
2013,Cottonwood,.30167598,0,.039106146
2017,Cottonwood,.37430167,0,.38547486
2018,Cottonwood,.46927375,0,.31843576
2013,Watonwan,.4054054,0,.0054054055
2014,Jackson,.38167939,0,.076335877
2018,Jackson,.40458015,0,.11450382
2017,Watonwan,.42702702,0,.91891891
2013,Jackson,.41221374,.0076335878,.099236645
2012,Jackson,.41221374,.015267176,
2015,Jackson,.39694658,0,.061068702
2017,Jackson,.40458015,.022900764,.31297711
2016,Jackson,.38167939,.015267176,.74045801
2015,Watonwan,.8918919,0,.61621624
2016,Watonwan,.98918921,0,.2918919
2012,Watonwan,.39459458,0,
2018,Watonwan,.9297297,0,.64324325
2014,Watonwan,.98378378,0,.0054054055
2016,Crow Wing,.58536583,.043041606,.2912482
2015,Crow Wing,.52797705,.038737446,.14347202
2013,Crow Wing,.49928263,.0014347202,.027259685
2012,Crow Wing,.50071734,.0028694405,
2017,Crow Wing,.56671447,.0086083217,.36872309
2014,Crow Wing,.51649928,.038737446,.028694404
2018,Crow Wing,.53228122,.014347202,.43041608
2018,Mille Lacs,.57186544,0,.40061161
2014,Mille Lacs,.55657494,.0091743115,.19571866
2017,Mille Lacs,.57798165,0,.43119267
2012,Mille Lacs,.55045873,.036697246,
2015,Mille Lacs,.5321101,.0091743115,.19266056
2016,Mille Lacs,.55963302,.079510704,.34556574
2013,Mille Lacs,.5321101,.0061162082,.22629969
2013,Dakota,.48537895,.93415558,.78476226
2012,Dakota,.40700218,.9327631,
2015,Dakota,.53152972,.92599958,.70777798
2017,Dakota,.40899146,.79769248,.59259999
2016,Dakota,.44698629,.84245074,.56494927
2018,Dakota,.51442212,.90928984,.60950863
2014,Dakota,.51143825,.91625226,.78734833
2016,Dodge,.48430493,0,.29147983
2014,Dodge,.47982064,0,0
2018,Dodge,.48878923,0,.080717489
2015,Dodge,.47982064,.0044843052,0
2012,Dodge,.47085202,0,
2017,Dodge,.50224215,0,.16591929
2013,Dodge,.47085202,0,0
2012,Olmsted,.21775898,.43446088,
2016,Olmsted,.27748415,.52219874,.53805494
2013,Olmsted,.23678647,.43234673,.53646934
2014,Olmsted,.22251585,.49894291,.68763214
2017,Olmsted,.26215646,.62050742,.6384778
2015,Olmsted,.21934462,.60676533,.70930231
2018,Olmsted,.23467231,.56342494,.58826637
2014,Douglas,.22273782,0,.032482598
2017,Douglas,.33410674,.0092807421,.28770301
2016,Douglas,.24593967,.0092807421,.10208817
2015,Douglas,.27146173,0,.032482598
2012,Douglas,.27146173,0,
2013,Douglas,.23201856,0,.0069605568
2018,Douglas,.37122971,.0069605568,.25986078
2014,Pope,.52100843,0,.075630255
2015,Grant,.68000001,0,.079999998
2013,Pope,.47058824,0,.05882353
2016,Grant,.49333334,0,.54666668
2012,Pope,.6134454,0,
2016,Pope,.68907565,0,.93277311
2018,Grant,.50666666,0,.82666665
2018,Pope,.68907565,.0084033618,.93277311
2017,Pope,.68907565,.016806724,.93277311
2012,Grant,.78666669,.026666667,
2013,Grant,.57333332,0,.06666667
2015,Pope,.52941179,0,.092436977
2017,Grant,.50666666,0,.97333336
2014,Grant,.60000002,0,.06666667
2018,Fillmore,.43891403,0,.70135748
2017,Fillmore,.43891403,.049773756,.69230771
2016,Fillmore,.43438914,.18552037,.68325794
2013,Fillmore,.39819005,0,.04524887
2014,Fillmore,.4162896,0,.081447966
2015,Fillmore,.4162896,0,.081447966
2012,Fillmore,.40271494,.0090497741,
2012,Houston,.27184466,0,
2015,Houston,.39805827,0,.019417476
2017,Winona,.43707094,.0091533177,.23569794
2016,Winona,.38443935,.0022883294,.40961099
2013,Winona,.34782609,0,.21281464
2014,Mower,.74788135,0,0
2016,Mower,.904661,.019067796,.44067797
2017,Houston,.35436893,0,.44174758
2017,Mower,.90254235,0,.44915253
2014,Houston,.27184466,0,.019417476
2015,Mower,.89406782,0,.0042372881
2013,Houston,.27669904,0,.024271844
2018,Houston,.37378642,0,.32524273
2018,Winona,.39130434,.0068649887,.073226541
2012,Mower,.74576271,0,
2014,Winona,.35011441,.0022883294,.10983982
2016,Houston,.31553397,0,.83495146
2018,Mower,.91101694,0,.49152541
2015,Winona,.35926774,.0022883294,.20366132
2013,Mower,.75847459,0,0
2012,Winona,.36155605,0,
2012,Freeborn,.47457626,0,
2016,Freeborn,.55367231,.0028248588,.033898305
2014,Freeborn,.48870057,0,.17231639
2018,Freeborn,.54802263,0,.39830509
2017,Freeborn,.63841808,0,.73446327
2013,Freeborn,.49435028,0,0
2015,Freeborn,.50282484,.0028248588,.0056497175
2017,Goodhue,.52928871,.066945605,.51882845
2012,Goodhue,.41004184,.012552301,
