year,county,s_county_N_below_supply,s_county_N_above_cost,s_county_N_below_quality
2022,Cook,.48275861,.44827586,.51724136
2022,Lake,.64705884,0,.58088237
2022,Houston,.28640777,.009708738,.25728154
2022,Winona,.41876429,.0068649887,.43707094
2022,Fillmore,.57918555,0,.21719457
2022,St. Louis,.60729927,.018491484,.49586374
2022,Wabasha,.38116592,.0044843052,.43049327
2022,Olmsted,.27801269,.62896407,.71617335
2022,Goodhue,.43305439,.025104603,.38075313
2022,Carlton,.45480227,.14971751,.58192092
2022,Pine,.78169012,.04225352,.18309858
2022,Mower,.54872882,0,.54449153
2022,Chisago,.72454089,.12186978,.31051752
2022,Dodge,.39013454,0,.21076234
2022,Dakota,.40899146,.8864134,.53152972
2022,Washington,.54920214,.70977396,.390625
2022,Ramsey,.76403618,.81129134,.53789771
2022,Anoka,.65915626,.85762227,.32981783
2022,Rice,.74197859,.0093582887,.14973262
2022,Freeborn,.79096043,.0056497175,.27401131
2022,Kanabec,.59504133,.35537189,.43801653
2022,Isanti,.70542634,.12403101,.43927649
2022,Itasca,.54852319,.0063291141,.45147678
2022,Steele,.40444446,0,.41999999
2022,Koochiching,.91803277,.0081967209,.0081967209
2022,Aitkin,.5496183,0,.45801526
2022,Hennepin,.47225893,.95508587,.58637899
2022,Scott,.47268292,.7985366,.24536586
2022,Mille Lacs,.58715594,.0030581041,.37614679
2022,Waseca,.84545457,.013636364,.07272727
2022,Sherburne,.68003273,.198036,.16939443
2022,Carver,.51057625,.83223927,.41064915
2022,Le Sueur,.27439025,.22256097,.22560975
2022,Wright,.71093363,.32051921,.16525212
2022,Faribault,.51587301,.015873017,.41269842
2022,Benton,.52769232,0,.18000001
2022,Sibley,.63243246,.0054054055,.2972973
2022,Blue Earth,.42433235,.026706232,.16172107
2022,Crow Wing,.62553799,.014347202,.38880917
2022,Morrison,.63170731,0,.16341463
2022,Cass,.72195125,.0097560976,.23902439
2022,Nicollet,.33842239,0,.14249364
2022,McLeod,.27804878,.0048780488,.34878048
2022,Stearns,.51141554,.030251142,.40981734
2022,Martin,.26576576,0,.23873875
2022,Meeker,.52479339,.0041322312,.47933885
2022,Brown,.2056962,0,.072784811
2022,Watonwan,.98378378,0,0
2022,Beltrami,.60474306,.025691699,.34584981
2022,Lake of the Woods,.66666669,0,.33333334
2022,Renville,.5,.012987013,.34415585
2022,Todd,.72085887,0,.25460124
2022,Hubbard,.68075114,0,.3568075
2022,Kandiyohi,.47387388,0,.56036037
2022,Wadena,.5933333,0,.1
2022,Jackson,.38931298,.083969466,.37404579
2022,Cottonwood,.61452514,0,.26256984
2022,Redwood,.54140127,0,.14012739
2022,Roseau,.66046512,.0046511628,.29767442
2022,Douglas,.31322506,0,.50812066
2022,Otter Tail,.59413582,0,.19444445
2022,Becker,.58577406,.0083682006,.40167364
2022,Clearwater,.69999999,0,.28
2022,Pope,.63025212,0,.15966387
2022,Swift,.41269842,.0079365084,.51587301
2022,Chippewa,.62025315,0,.050632913
2022,Yellow Medicine,.58536583,0,.21951219
2022,Nobles,.85620916,0,.28431374
2022,Murray,.58823532,0,.29411766
2022,Mahnomen,.55434781,0,.63043481
2022,Polk,.35135135,.019656019,.42751843
2022,Lyon,.17921147,.0071684588,.66308242
2022,Pennington,.30113637,.0056818184,.0056818184
2022,Marshall,.77142859,.028571429,.19047619
2022,Grant,.72000003,0,.21333334
2022,Stevens,.5714286,.010204081,.040816326
2022,Lac qui Parle,.79347825,0,.20652173
2022,Red Lake,.35714287,0,.23809524
2022,Norman,.6388889,0,.47222221
2022,Rock,.38793105,0,.54310346
2022,Pipestone,.23030303,0,.64242423
2022,Lincoln,.37096775,0,.66129035
2022,Big Stone,.3611111,.069444448,.4861111
2022,Clay,.42840648,.0011547344,.50923789
2022,Traverse,.35294119,0,.64705884
2022,Wilkin,.25862068,.034482758,.70689654
2022,Kittson,.49056605,0,.13207547
