year,tribal_name,s_tribal_nam_N_below_supply,s_tribal_nam_N_above_cost,s_tribal_nam_N_below_quality
2014,Bois Forte,.55555558,0,.44444445
2022,Bois Forte,.55555558,.22222222,.22222222
2013,Bois Forte,.55555558,.11111111,.22222222
2015,Bois Forte,.55555558,0,.44444445
2016,Bois Forte,.77777779,.22222222,.22222222
2017,Bois Forte,.55555558,.33333334,.44444445
2019,Bois Forte,.55555558,.11111111,.44444445
2012,Bois Forte,.55555558,.22222222,
2021,Bois Forte,.55555558,0,.44444445
2020,Bois Forte,.55555558,0,.44444445
2018,Bois Forte,.55555558,0,.44444445
2020,Fond du Lac,.66666669,0,.33333334
2012,Fond du Lac,.64102566,0,
2022,Fond du Lac,.69230771,.56410259,.30769232
2021,Fond du Lac,.69230771,0,.2820513
2013,Fond du Lac,.64102566,0,.30769232
2018,Fond du Lac,.66666669,0,.2820513
2014,Fond du Lac,.69230771,0,.30769232
2016,Fond du Lac,.64102566,.33333334,.30769232
2015,Fond du Lac,.64102566,0,.30769232
2019,Fond du Lac,.66666669,0,.33333334
2017,Fond du Lac,.64102566,.46153846,.30769232
2020,Grand Portage,.33333334,0,0
2012,Grand Portage,.33333334,0,
2018,Grand Portage,.33333334,0,0
2015,Grand Portage,.33333334,0,0
2021,Grand Portage,.33333334,0,.66666669
2016,Grand Portage,1,1,0
2017,Grand Portage,.33333334,.33333334,0
2019,Grand Portage,.33333334,0,0
2013,Grand Portage,.33333334,0,0
2014,Grand Portage,.33333334,.33333334,0
2021,Leech Lake,.7352941,.0058823531,.27058825
2022,Leech Lake,.74705881,.0058823531,.25882354
2012,Leech Lake,.68823528,.0058823531,
2020,Leech Lake,.69411767,0,.35882354
2019,Leech Lake,.78235292,0,.3764706
2013,Leech Lake,.69999999,0,.33529413
2018,Leech Lake,.72941178,0,.3764706
2014,Leech Lake,.72941178,.0058823531,.33529413
2017,Leech Lake,.74705881,.16470589,.34117648
2015,Leech Lake,.72941178,0,.32941177
2016,Leech Lake,.91176468,0,.24705882
2021,Lower Sioux,0,0,1
2019,Lower Sioux,1,0,0
2020,Lower Sioux,0,0,1
2016,Lower Sioux,1,0,0
2015,Lower Sioux,1,0,0
2012,Lower Sioux,1,0,
2018,Lower Sioux,1,0,0
2013,Lower Sioux,1,0,0
2022,Lower Sioux,0,0,1
2017,Lower Sioux,1,0,0
2014,Lower Sioux,1,0,0
2022,Mille Lacs,.42857143,0,.42857143
2013,Mille Lacs,.14285715,0,.85714287
2018,Mille Lacs,.42857143,0,.42857143
2016,Mille Lacs,1,0,0
2017,Mille Lacs,.42857143,0,.42857143
2014,Mille Lacs,.14285715,0,.42857143
2021,Mille Lacs,.42857143,0,.42857143
2020,Mille Lacs,.42857143,0,.42857143
2019,Mille Lacs,.5714286,0,.42857143
2015,Mille Lacs,.42857143,0,.42857143
2012,Mille Lacs,.42857143,0,
2013,Outside,.56525725,.52535105,.38244066
2018,Outside,.5559836,.52477634,.41821486
2022,Outside,.54179418,.52385241,.43252817
2021,Outside,.5582757,.51740581,.41666797
2015,Outside,.56631351,.52870637,.41280913
2019,Outside,.55261278,.52013171,.4301137
2017,Outside,.5547564,.51764631,.408149
2020,Outside,.54764199,.52808499,.43497577
2014,Outside,.56375045,.52418602,.39286381
2016,Outside,.58447248,.54374301,.38332608
2012,Outside,.55964959,.52421713,
2012,Prairie Island,1,1,
2019,Prairie Island,1,1,0
2022,Prairie Island,1,1,0
2017,Prairie Island,1,0,0
2015,Prairie Island,1,0,0
2020,Prairie Island,1,0,0
2014,Prairie Island,1,0,0
2013,Prairie Island,1,0,0
2021,Prairie Island,1,0,0
2016,Prairie Island,1,0,0
2018,Prairie Island,1,1,0
2021,Red Lake,1,.080459774,.16091955
2012,Red Lake,.954023,0,
2018,Red Lake,.9770115,0,.10344828
2013,Red Lake,.96551722,0,.10344828
2014,Red Lake,.9770115,0,.10344828
2015,Red Lake,1,0,.091954023
2022,Red Lake,1,.080459774,.22988506
2016,Red Lake,.954023,0,0
2017,Red Lake,1,.13793103,0
2020,Red Lake,1,0,.057471264
2019,Red Lake,.96551722,0,.080459774
2012,Shakopee Mdewakanton Sioux,.81818181,1,
2021,Shakopee Mdewakanton Sioux,.45454547,1,.54545456
