year,mnlegdist,s_mnlegdist_N_below_supply,s_mnlegdist_N_above_cost,s_mnlegdist_N_below_quality
2016,10A,.45330295,.01594533,.32118452
2017,10A,.42141229,.013667426,.49658313
2012,10A,.36902049,.0022779044,
2018,10A,.38952163,.01594533,.55353075
2015,10A,.3781321,.01594533,.49430525
2013,10A,.35990888,.0022779044,.23690204
2014,10A,.36902049,.01594533,.38496584
2013,10B,.63446474,0,.1305483
2015,10B,.69190603,.05221932,.24020888
2018,10B,.69451696,.0078328978,.23759791
2017,10B,.73107052,0,.27154046
2016,10B,.71279371,.06005222,.19321148
2012,10B,.65013057,.010443864,
2014,10B,.66318536,.057441253,.19582245
2016,11A,.54060912,.017766498,.54060912
2015,11A,.51269037,.010152284,.5076142
2017,11A,.48984772,.060913704,.54568529
2018,11A,.48477158,.002538071,.49746192
2014,11A,.49492386,.005076142,.49238577
2013,11A,.53807104,0,.19796954
2012,11A,.677665,.002538071,
2013,11B,.66850829,.011049724,.20994475
2012,11B,.66850829,.03038674,
2018,11B,.71270716,.0055248621,.21823205
2014,11B,.67403316,.0082872929,.31491712
2015,11B,.69889504,0,.2845304
2016,11B,.69337016,.049723756,.26519337
2017,11B,.69889504,.0055248621,.27900553
2017,12A,.46919432,0,.30094787
2018,12A,.47156399,0,.31042653
2012,12A,.53317535,.0047393367,
2014,12A,.43127963,.0071090045,.26303318
2013,12A,.42180094,.0071090045,.24644549
2016,12A,.46682465,0,.32938388
2015,12A,.45260665,0,.38388625
2012,12B,.36188436,0,
2016,12B,.41327623,0,.1477516
2015,12B,.39400429,0,.16916488
2014,12B,.38758031,0,.16488223
2013,12B,.37687367,0,.11349037
2017,12B,.41755888,.0064239828,.26124197
2018,12B,.4111349,.025695931,.16488223
2017,13A,.39808154,.016786572,.17505996
2012,13A,.38129497,0,
2018,13A,.40047961,.026378896,.17505996
2014,13A,.41726619,.033573143,.18705036
2015,13A,.40767387,.026378896,.18705036
2016,13A,.40767387,.0047961632,.1822542
2013,13A,.37889689,0,.011990407
2012,13B,.36710963,0,
2017,13B,.47674417,.0033222591,.093023255
2018,13B,.42026579,.0049833888,.13122924
2014,13B,.35714287,0,.08139535
2015,13B,.38870433,0,.29235882
2013,13B,.36046511,0,.013289036
2016,13B,.35215947,.0033222591,.18438539
2012,14A,.58333331,0,
2017,14A,.69308943,.0040650405,.31504065
2016,14A,.66666669,0,.29471543
2018,14A,.74186993,.0020325202,.2906504
2015,14A,.65040648,.014227643,.34349594
2014,14A,.6199187,.06300813,.18292683
2013,14A,.60569108,0,.11585366
2013,14B,.35523614,0,.4804928
2017,14B,.3429158,.049281314,.52566737
2015,14B,.33470225,0,.71457905
2016,14B,.32854208,.053388089,.53182751
2014,14B,.32238194,0,.62012321
2012,14B,.40246406,0,
2018,14B,.33470225,.04106776,.60164273
2013,15A,.57964599,.0044247787,.13716814
2018,15A,.60176992,0,.32079646
2015,15A,.56637168,.0066371681,.15265487
2012,15A,.59292036,.026548672,
2016,15A,.5818584,.055309735,.15265487
2017,15A,.60840708,.0022123894,.31858408
2014,15A,.57964599,.0066371681,.15486726
2012,15B,.5895372,0,
2017,15B,.6056338,.06639839,.060362171
2018,15B,.60160965,.084507041,.06639839
2014,15B,.59959757,.0060362173,.04225352
2013,15B,.57344067,.0060362173,0
2015,15B,.62575454,.0040241447,.088531189
2016,15B,.5895372,.082494967,.070422538
2012,16A,.33405641,0,
2017,16A,.38394794,.0065075923,.18655097
2016,16A,.30585682,.0065075923,.2451193
2014,16A,.32321042,.0021691974,.22993493
2018,16A,.31670281,.0043383949,.164859
2013,16A,.32971799,0,.20607375
2015,16A,.31670281,.0043383949,.20390455
2016,16B,.30580357,0,.234375
2014,16B,.28125,0,.3236607
2017,16B,.2700893,.002232143,.55133927
2018,16B,.2857143,0,.234375
2015,16B,.2611607,0,.35714287
2012,16B,.28348213,0,
2013,16B,.27901787,0,.013392857
2017,17A,.47577092,0,.20925111
2014,17A,.40969163,.0022026431,.52643174
2012,17A,.42070484,0,
2013,17A,.4229075,.0022026431,.43392071
2015,17A,.44273129,0,.37004405
2018,17A,.47136563,0,.30616739
2016,17A,.46696034,.0022026431,.31277534
2017,17B,.49805447,0,.43579766
2016,17B,.4844358,0,.44357976
2014,17B,.47859922,.0019455253,.39883268
2012,17B,.50389105,0,
2018,17B,.46303502,0,.41245136
2015,17B,.47276264,.0019455253,.41634241
2013,17B,.52140075,.0019455253,.19066148
2017,18A,.45939675,0,.42227378
2014,18A,.47563806,0,.24825986
2015,18A,.44315544,0,.23897912
2018,18A,.47099769,0,.28074247
2013,18A,.4825986,0,.011600928
2016,18A,.45475638,.0023201855,.28538284
2012,18A,.47795823,0,
2012,18B,.3318584,0,
2018,18B,.4159292,.0022123894,.24336283
2015,18B,.34734514,0,.43141592
2013,18B,.36504424,0,.2300885
2014,18B,.31858408,0,.40486726
2016,18B,.41371682,0,.3539823
2017,18B,.40929204,0,.43362832
2017,19A,.28985506,.01242236,.23188406
2016,19A,.30848861,.01242236,.17805383
2014,19A,.36231884,.0062111802,.32712215
2012,19A,.24430642,0,
2013,19A,.25051761,0,.12836438
2015,19A,.27950311,.0041407868,.2173913
2018,19A,.35403726,.01242236,.24223602
2013,19B,.23037975,0,.47594938
2017,19B,.40000001,0,.51392406
2015,19B,.37974682,0,.50379747
2018,19B,.4329114,0,.49620253
2016,19B,.35189873,0,.46835443
2014,19B,.33164558,0,.51139241
2012,19B,.25316456,0,
2012,1A,.37795275,.0019685039,
2013,1A,.39960629,.0019685039,.25984251
2017,1A,.43503937,.015748031,.15551181
2014,1A,.40157479,.0019685039,.27165353
2016,1A,.41732284,.0098425196,.17716536
2018,1A,.44881889,.0059055118,.062992126
2015,1A,.42716536,.0019685039,.17519686
2012,1B,.36585367,.0060975607,
2018,1B,.34959349,.008130081,.54674798
2015,1B,.34959349,0,.53252035
2016,1B,.33536586,.014227643,.54471546
2014,1B,.3699187,0,.53658539
2013,1B,.35365853,.0020325202,.46138212
2017,1B,.33536586,.0040650405,.54674798
2012,20A,.25765765,.037837837,
2018,20A,.53153151,.01981982,.14054054
2017,20A,.59819818,.023423424,.097297296
2015,20A,.45045045,.041441441,.18378378
2013,20A,.2972973,.045045044,0
2016,20A,.45045045,.1009009,.14414415
2014,20A,.41441441,.045045044,.22162162
2014,20B,.54767728,.03422983,0
2016,20B,.56234717,.19315404,.06845966
