year,uni_nam,s_uni_nam_N_below_supply,s_uni_nam_N_above_cost,s_uni_nam_N_below_quality
2013,A.C.G.C.,.67924529,.018867925,.094339624
2012,A.C.G.C.,.67924529,0,
2020,A.C.G.C.,.6226415,0,.33962265
2015,A.C.G.C.,.66037738,.018867925,.35849056
2014,A.C.G.C.,.64150941,.018867925,.35849056
2016,A.C.G.C.,.64150941,0,.35849056
2017,A.C.G.C.,.64150941,0,.35849056
2018,A.C.G.C.,.64150941,0,.35849056
2019,A.C.G.C.,.66037738,0,.3018868
2012,Ada-Borup,.21428572,0,
2019,Ada-Borup,.21428572,.035714287,.78571427
2014,Ada-Borup,.21428572,0,0
2020,Ada-Borup,.14285715,0,.78571427
2016,Ada-Borup,.21428572,0,.71428573
2017,Ada-Borup,.21428572,0,.78571427
2018,Ada-Borup,.21428572,0,.78571427
2015,Ada-Borup,.21428572,0,.71428573
2013,Ada-Borup,.21428572,0,.78571427
2012,Adrian,.44827586,0,
2013,Adrian,.48275861,0,0
2015,Adrian,.44827586,0,.51724136
2019,Adrian,.44827586,0,.55172414
2014,Adrian,.44827586,0,.55172414
2016,Adrian,.44827586,0,.58620691
2017,Adrian,.44827586,0,.58620691
2020,Adrian,.44827586,0,.58620691
2018,Adrian,.44827586,0,.51724136
2018,Aitkin,.51999998,0,.40000001
2017,Aitkin,.51999998,0,.40000001
2016,Aitkin,.54666668,0,0
2013,Aitkin,.46666667,0,0
2020,Aitkin,.49333334,.079999998,.33333334
2012,Aitkin,.49333334,.039999999,
2019,Aitkin,.69333333,0,.26666668
2015,Aitkin,.54666668,0,.13333334
2014,Aitkin,.47999999,0,.25333333
2018,Albany,.42156863,.039215688,.51960784
2015,Albany,.28431374,0,.54901963
2013,Albany,.32352942,0,.05882353
2019,Albany,.34313726,.039215688,.49019608
2014,Albany,.30392158,0,.54901963
2012,Albany,.32352942,0,
2020,Albany,.37254903,.039215688,.46078432
2016,Albany,.35294119,0,.53921568
2017,Albany,.39215687,0,.51960784
2019,Albert Lea,.59479553,0,.48698884
2016,Albert Lea,.48698884,0,.0037174721
2020,Albert Lea,.74721187,0,.43122676
2018,Albert Lea,.47211897,0,.62453532
2014,Albert Lea,.38289964,0,.23791821
2013,Albert Lea,.39033458,0,.23048328
2015,Albert Lea,.40520447,0,0
2012,Albert Lea,.40148699,0,
2017,Albert Lea,.57992566,0,.61338288
2014,Alden-Conger,.54545456,0,.45454547
2018,Alden-Conger,.63636363,0,.45454547
2017,Alden-Conger,.63636363,0,.36363637
2016,Alden-Conger,.54545456,0,.45454547
2020,Alden-Conger,.54545456,0,.45454547
2013,Alden-Conger,.54545456,0,0
2015,Alden-Conger,.54545456,0,.45454547
2012,Alden-Conger,.54545456,0,
2019,Alden-Conger,.63636363,0,.45454547
2017,Alexandria,.30140844,.011267605,.39154929
2013,Alexandria,.18028168,0,.45915493
2019,Alexandria,.36901408,.0084507046,.03943662
2015,Alexandria,.23098591,0,.067605637
2016,Alexandria,.2,.011267605,.056338027
2014,Alexandria,.17464788,0,.076056339
2012,Alexandria,.22816901,0,
2018,Alexandria,.34929577,.0084507046,.30985916
2020,Alexandria,.33802816,0,.076056339
2015,Annandale,.71653545,0,.015748031
2013,Annandale,.55905509,0,0
2014,Annandale,.51968503,.015748031,.40944883
2016,Annandale,.77165353,0,.015748031
2018,Annandale,.50393701,.047244094,.015748031
2017,Annandale,.4566929,0,.0078740157
2019,Annandale,.37007874,.047244094,.0078740157
2020,Annandale,.54330707,.1496063,.0078740157
2012,Annandale,.51181102,0,
2015,Anoka-Hennepin,.62522268,.87032419,.4310652
2012,Anoka-Hennepin,.50694692,.77805483,
2013,Anoka-Hennepin,.54221588,.77662987,.5429284
2014,Anoka-Hennepin,.56964731,.78268611,.50374067
2020,Anoka-Hennepin,.56180978,.83861774,.37727112
2019,Anoka-Hennepin,.64552903,.94121838,.31457072
2017,Anoka-Hennepin,.56964731,.72354829,.46063414
2016,Anoka-Hennepin,.58745992,.82223016,.45778412
2018,Anoka-Hennepin,.57570362,.8336302,.4467403
2012,Ashby,.94117647,0,
2019,Ashby,.94117647,0,.64705884
2013,Ashby,.29411766,0,.70588237
2020,Ashby,.94117647,0,.64705884
2018,Ashby,.23529412,0,.70588237
2015,Ashby,.70588237,0,.70588237
2017,Ashby,.29411766,0,.64705884
2014,Ashby,.29411766,0,.70588237
2016,Ashby,.29411766,0,.64705884
2020,Austin,1,.0028089888,.47191012
2018,Austin,1,0,.49157304
2019,Austin,1,0,.35955057
2012,Austin,.75842696,0,
2014,Austin,.77528089,0,0
2015,Austin,.97471911,0,0
2016,Austin,.97471911,.028089888,.45505619
2017,Austin,1,0,.22191012
2013,Austin,.83426964,0,0
2018,Badger,.73333335,0,0
2016,Badger,.46666667,0,.46666667
2019,Badger,.53333336,0,.46666667
2012,Badger,.40000001,0,
2017,Badger,.53333336,0,.46666667
2020,Badger,.53333336,0,.40000001
2015,Badger,.46666667,0,.46666667
2013,Badger,.40000001,0,.46666667
2014,Badger,.46666667,0,.46666667
2017,Bagley,.56716418,0,.38805971
2016,Bagley,.53731346,0,.38805971
2015,Bagley,.53731346,0,.38805971
2012,Bagley,.61194032,0,
2018,Bagley,.53731346,0,.044776119
2014,Bagley,.56716418,0,.37313432
2020,Bagley,.55223882,0,.3283582
2013,Bagley,.61194032,0,.35820895
2019,Bagley,.52238804,0,.35820895
2019,Barnesville,.36842105,0,0
2017,Barnesville,.36842105,0,0
2016,Barnesville,.39473686,0,0
2014,Barnesville,.36842105,0,0
2015,Barnesville,.36842105,0,0
2013,Barnesville,.36842105,0,0
2012,Barnesville,.36842105,0,
2020,Barnesville,.36842105,0,0
2018,Barnesville,.36842105,0,0
2017,Barnum,.66666669,.14814815,.33333334
2014,Barnum,.62962961,.074074075,.37037036
2019,Barnum,.5925926,0,.44444445
2020,Barnum,.55555558,0,.44444445
2018,Barnum,.62962961,0,.33333334
2015,Barnum,.62962961,.14814815,.37037036
2013,Barnum,.66666669,0,.33333334
2012,Barnum,.66666669,0,
2016,Barnum,.66666669,.074074075,.37037036
2015,Battle Lake,.55555558,0,.33333334
2014,Battle Lake,.5,0,.33333334
2018,Battle Lake,.6111111,0,.33333334
2020,Battle Lake,.55555558,0,.22222222
2013,Battle Lake,.5,0,0
2019,Battle Lake,.55555558,.055555556,.27777779
2016,Battle Lake,.55555558,0,.44444445
2017,Battle Lake,.66666669,0,.27777779
2012,Battle Lake,.55555558,0,
2015,Becker,.28,0,0
2020,Becker,.30000001,.37,0
2019,Becker,.23,.44,0
2012,Becker,.28999999,0,
2016,Becker,.2,.41,0
2017,Becker,.27000001,.23999999,0
2018,Becker,.27000001,.31999999,0
2013,Becker,.27000001,.0099999998,0
2014,Becker,.31,0,0
2015,Belgrade-Brooten-Elrosa,.56097561,0,.14634146
2013,Belgrade-Brooten-Elrosa,.53658539,0,.14634146
2014,Belgrade-Brooten-Elrosa,.53658539,0,.14634146
2019,Belgrade-Brooten-Elrosa,.53658539,0,.14634146
2017,Belgrade-Brooten-Elrosa,.51219511,.073170729,0
2020,Belgrade-Brooten-Elrosa,.53658539,.024390243,0
2016,Belgrade-Brooten-Elrosa,.56097561,0,.14634146
2018,Belgrade-Brooten-Elrosa,.51219511,0,.14634146
2012,Belgrade-Brooten-Elrosa,.56097561,0,
2014,Belle Plaine,.68944097,.024844721,0
2020,Belle Plaine,.99378884,.0062111802,0
2018,Belle Plaine,.75776398,.062111802,0
2015,Belle Plaine,.6832298,.024844721,0
2017,Belle Plaine,.95652175,.049689442,0
2012,Belle Plaine,.18012422,.031055901,
2019,Belle Plaine,.93167704,.031055901,0
2016,Belle Plaine,.75776398,.3167702,0
2013,Belle Plaine,.26708075,.031055901,0
2012,Bemidji,.48899755,0,
2016,Bemidji,.52322739,.0024449879,.32273838
2017,Bemidji,.53300732,0,.35207823
2014,Bemidji,.53300732,.0024449879,.3422983
2018,Bemidji,.53789729,0,.31295845
2015,Bemidji,.52567238,0,.29339853
2013,Bemidji,.50855744,0,.37408313
2020,Bemidji,.48899755,0,.44498777
2019,Bemidji,.49144253,0,.41564792
2017,Benson,.26984128,0,.61904764
2016,Benson,.2857143,.015873017,.6825397
2015,Benson,.26984128,0,.015873017
2013,Benson,.22222222,0,.6825397
2012,Benson,.22222222,0,
2018,Benson,.30158731,0,.015873017
2019,Benson,.30158731,0,0
2020,Benson,.30158731,0,0
2014,Benson,.22222222,0,.65079367
2019,Bertha-Hewitt,.51428574,0,.40000001
2017,Bertha-Hewitt,.54285717,0,.40000001
2015,Bertha-Hewitt,.91428572,0,.40000001
2018,Bertha-Hewitt,.85714287,0,.40000001
2014,Bertha-Hewitt,.85714287,0,.40000001
2020,Bertha-Hewitt,.88571429,0,.37142858
2012,Bertha-Hewitt,.5714286,0,
2013,Bertha-Hewitt,.5714286,0,.40000001
2016,Bertha-Hewitt,.54285717,0,.40000001
2017,Big Lake,.70609319,.025089607,0
2019,Big Lake,.86021507,.053763442,.068100356
2014,Big Lake,.53046596,.028673835,0
2012,Big Lake,.50896055,.021505376,
2016,Big Lake,.55913979,.025089607,0
2020,Big Lake,.87813622,.15053764,.10035843
2013,Big Lake,.45519713,.028673835,0
2018,Big Lake,.67741936,.025089607,0
2015,Big Lake,.53046596,.014336918,0
2018,Bird Island-Olivia-Lake Lillian,.31818181,0,.40909091
2017,Bird Island-Olivia-Lake Lillian,.31818181,0,.40909091
2012,Bird Island-Olivia-Lake Lillian,.29545453,0,
2013,Bird Island-Olivia-Lake Lillian,.29545453,0,.43181819
2016,Bird Island-Olivia-Lake Lillian,.31818181,0,.29545453
2014,Bird Island-Olivia-Lake Lillian,.29545453,0,.40909091
2019,Bird Island-Olivia-Lake Lillian,.31818181,0,0
2020,Bird Island-Olivia-Lake Lillian,.31818181,0,.25
2015,Bird Island-Olivia-Lake Lillian,.31818181,0,.40909091
2013,Blackduck,.64999998,0,0
2014,Blackduck,.625,0,.32499999
2015,Blackduck,.64999998,0,.32499999
2020,Blackduck,.64999998,0,.32499999
2017,Blackduck,.64999998,0,.32499999
2016,Blackduck,.67500001,0,.32499999
2018,Blackduck,.625,0,.32499999
2019,Blackduck,.64999998,0,.32499999
2012,Blackduck,.64999998,.15000001,
2015,Blooming Prairie,.4375,0,0
2017,Blooming Prairie,.47916666,0,.45833334
2012,Blooming Prairie,.4375,0,
2013,Blooming Prairie,.41666666,0,0
2016,Blooming Prairie,.47916666,0,0
2014,Blooming Prairie,.41666666,0,.47916666
2020,Blooming Prairie,.47916666,.041666668,.47916666
2019,Blooming Prairie,.47916666,0,.47916666
2018,Blooming Prairie,.45833334,0,.47916666
2015,Bloomington,.66588509,1,.5861665
2014,Bloomington,.6400938,1,.61195779
2019,Bloomington,.64478314,1,.4736225
2020,Bloomington,.60492378,1,.37866354
2018,Bloomington,.75849944,1,.5334115
2013,Bloomington,.65650642,1,.60140681
2016,Bloomington,.63188744,1,.56623679
2012,Bloomington,.72801876,1,
2017,Bloomington,.56037515,1,.53692847
2016,Blue Earth Area,.50724638,.014492754,.42028984
2020,Blue Earth Area,.52173913,.014492754,.42028984
2013,Blue Earth Area,.55072463,0,.40579709
2012,Blue Earth Area,.50724638,0,
2015,Blue Earth Area,.55072463,.014492754,.42028984
2017,Blue Earth Area,.50724638,.014492754,.42028984
2018,Blue Earth Area,.50724638,0,.42028984
2019,Blue Earth Area,.57971013,.028985508,.42028984
2014,Blue Earth Area,.55072463,0,.40579709
2017,Braham,.97826087,0,.065217391
2014,Braham,.82608694,.010869565,.30434781
2020,Braham,.98913044,0,.30434781
2018,Braham,.97826087,0,.19565217
2013,Braham,1,0,0
2012,Braham,.96739131,0,
2015,Braham,.94565219,0,.27173913
2016,Braham,.96739131,.021739131,.30434781
2019,Braham,.98913044,0,.2173913
2015,Brainerd,.52310538,0,.40850279
2019,Brainerd,.55637705,0,.47319779
2020,Brainerd,.60628468,0,.46210721
2016,Brainerd,.59149724,.0055452865,.2754159
2014,Brainerd,.50831795,0,.27911276
2017,Brainerd,.56192237,.011090573,.40850279
2013,Brainerd,.47689465,0,.19593346
2018,Brainerd,.52680224,0,.46025878
2012,Brainerd,.49722737,0,
2013,Brandon-Evansville,.42857143,0,.34285715
2016,Brandon-Evansville,.40000001,0,.5714286
2019,Brandon-Evansville,.42857143,0,.62857145
2017,Brandon-Evansville,.40000001,0,.5714286
2018,Brandon-Evansville,.42857143,0,.5714286
2014,Brandon-Evansville,.40000001,0,.5714286
2012,Brandon-Evansville,.45714286,0,
2015,Brandon-Evansville,.40000001,0,.5714286
2020,Brandon-Evansville,.42857143,0,.62857145
2018,Breckenridge,.2,0,0
2014,Breckenridge,.22222222,0,0
2016,Breckenridge,.22222222,0,0
2013,Breckenridge,.22222222,0,0
2015,Breckenridge,.22222222,0,0
2012,Breckenridge,.22222222,0,
2020,Breckenridge,.24444444,.022222223,.022222223
2019,Breckenridge,.2,0,0
2017,Breckenridge,.2,0,0
2012,Brooklyn Center,1,1,
2018,Brooklyn Center,1,1,.64444447
2019,Brooklyn Center,1,.99259257,.37037036
2014,Brooklyn Center,1,1,.2888889
2017,Brooklyn Center,1,1,.27407408
2016,Brooklyn Center,1,1,.31111112
2015,Brooklyn Center,1,1,.28148147
2020,Brooklyn Center,1,.99259257,.0074074073
2013,Brooklyn Center,1,1,.35555556
2017,Browerville,.63157892,0,.36842105
2015,Browerville,.57894737,0,.36842105
2016,Browerville,.63157892,0,.36842105
2018,Browerville,.63157892,0,.36842105
2012,Browerville,.63157892,0,
2019,Browerville,.5,.052631579,.39473686
2020,Browerville,.63157892,0,.36842105
2013,Browerville,.60526317,0,.31578946
2014,Browerville,.60526317,0,.36842105
2015,Browns Valley,.40000001,0,.60000002
2014,Browns Valley,.40000001,0,.60000002
2020,Browns Valley,.40000001,0,.60000002
2017,Browns Valley,.40000001,0,.60000002
2019,Browns Valley,.40000001,0,.60000002
2012,Browns Valley,.40000001,0,
2016,Browns Valley,.40000001,0,.60000002
2018,Browns Valley,.40000001,0,.60000002
2013,Browns Valley,.40000001,0,.60000002
2012,Buffalo Lake-Hector-Stewart,.72222221,0,
2020,Buffalo Lake-Hector-Stewart,.3611111,.027777778,0
2018,Buffalo Lake-Hector-Stewart,.97222221,0,.33333334
2019,Buffalo Lake-Hector-Stewart,.6111111,.055555556,.3611111
2013,Buffalo Lake-Hector-Stewart,.72222221,0,0
2016,Buffalo Lake-Hector-Stewart,.97222221,0,.3611111
2015,Buffalo Lake-Hector-Stewart,.97222221,0,.3611111
2017,Buffalo Lake-Hector-Stewart,.97222221,0,0
2014,Buffalo Lake-Hector-Stewart,.72222221,0,.6388889
2012,Buffalo-Hanover-Montrose,.5289855,.082125604,
2015,Buffalo-Hanover-Montrose,.60869563,.055555556,.22222222
2014,Buffalo-Hanover-Montrose,.6400966,.019323671,.21497585
2020,Buffalo-Hanover-Montrose,.557971,.14009662,.39130434
2016,Buffalo-Hanover-Montrose,.59178746,.038647342,.41304347
2018,Buffalo-Hanover-Montrose,.59420288,.28985506,.37922704
2019,Buffalo-Hanover-Montrose,.67874396,.22463769,.32367149
2013,Buffalo-Hanover-Montrose,.61352658,.086956523,0
2017,Buffalo-Hanover-Montrose,.62077296,.019323671,.37198067
2014,Burnsville-Eagan-Savage,.39567569,1,.55567569
2018,Burnsville-Eagan-Savage,.38702703,1,.45837837
2013,Burnsville-Eagan-Savage,.33621621,1,.66702706
2015,Burnsville-Eagan-Savage,.38594595,1,.60972971
2016,Burnsville-Eagan-Savage,.44216216,1,.43135136
2020,Burnsville-Eagan-Savage,.3762162,1,.42594594
2012,Burnsville-Eagan-Savage,.30378377,1,
2019,Burnsville-Eagan-Savage,.41945946,1,.15783784
2017,Burnsville-Eagan-Savage,.4518919,1,.40648648
2019,Butterfield-Odin,.9375,0,0
2014,Butterfield-Odin,.9375,0,0
2013,Butterfield-Odin,1,0,0
2018,Butterfield-Odin,.4375,0,.5625
2012,Butterfield-Odin,.9375,0,
2020,Butterfield-Odin,.9375,0,0
2016,Butterfield-Odin,.9375,0,0
2017,Butterfield-Odin,.9375,0,0
2015,Butterfield-Odin,.9375,0,0
2017,Byron,.22413793,.0086206896,0
2012,Byron,.1724138,0,
2016,Byron,.18103448,0,0
2018,Byron,.22413793,0,0
2015,Byron,.18965517,0,0
2013,Byron,.19827586,0,0
2019,Byron,.1724138,.02586207,0
2014,Byron,.22413793,0,0
2020,Byron,.19827586,.0086206896,.80172414
2016,Caledonia,.45652175,0,.45652175
2013,Caledonia,.43478259,0,.30434781
2012,Caledonia,.43478259,0,
2017,Caledonia,.47826087,0,.45652175
2020,Caledonia,.45652175,0,.36956522
2014,Caledonia,.45652175,0,0
2019,Caledonia,.5,0,.41304347
2015,Caledonia,.41304347,0,.41304347
2018,Caledonia,.45652175,0,.41304347
2013,Cambridge-Isanti,.61824322,.033783782,.25675675
2015,Cambridge-Isanti,.6554054,.070945948,.36486486
2018,Cambridge-Isanti,.58445948,.0067567569,.44932431
2014,Cambridge-Isanti,.68243241,.087837838,.2668919
2020,Cambridge-Isanti,.625,.010135135,.19932432
2019,Cambridge-Isanti,.54054052,.050675675,.21283785
2012,Cambridge-Isanti,.63175678,.084459461,
2016,Cambridge-Isanti,.70608109,.030405406,.45945945
2017,Cambridge-Isanti,.7027027,.043918919,.2331081
2019,Campbell-Tintah,.66666669,0,.33333334
2012,Campbell-Tintah,1,0,
2016,Campbell-Tintah,.66666669,0,.33333334
2020,Campbell-Tintah,.66666669,0,.33333334
2014,Campbell-Tintah,.66666669,0,.33333334
2013,Campbell-Tintah,1,0,0
2015,Campbell-Tintah,.66666669,0,.33333334
2018,Campbell-Tintah,.66666669,0,.33333334
2017,Campbell-Tintah,.66666669,0,.33333334
2017,Canby,.51351351,0,.48648649
2018,Canby,.51351351,0,.43243244
2014,Canby,.51351351,0,.35135135
2013,Canby,.48648649,0,.35135135
2015,Canby,.51351351,0,.35135135
2019,Canby,.51351351,0,.45945945
2016,Canby,.54054052,0,.37837839
2020,Canby,.62162161,0,.45945945
2012,Canby,.48648649,0,
2019,Cannon Falls,.35443038,.06329114,0
2015,Cannon Falls,.41772151,.025316456,0
2013,Cannon Falls,.4556962,0,0
2014,Cannon Falls,.43037975,.025316456,0
2020,Cannon Falls,.48101267,.012658228,0
2012,Cannon Falls,.41772151,0,
2017,Cannon Falls,.41772151,.025316456,0
2018,Cannon Falls,.43037975,.012658228,.012658228
2016,Cannon Falls,.41772151,.025316456,.037974682
2013,Carlton,.875,0,0
2014,Carlton,.953125,0,.21875
2018,Carlton,.921875,0,0
2012,Carlton,.875,0,
2020,Carlton,.984375,0,.203125
2017,Carlton,.921875,0,.25
2016,Carlton,.921875,0,.296875
2015,Carlton,.921875,0,.3125
2019,Carlton,.984375,0,.296875
2019,Cass Lake-Bena,.61643833,0,.71232879
2020,Cass Lake-Bena,.47945204,0,.65753424
2017,Cass Lake-Bena,.47945204,0,.76712328
2012,Cass Lake-Bena,.39726028,0,
2015,Cass Lake-Bena,.49315068,0,.72602737
2016,Cass Lake-Bena,.49315068,0,.78082192
2013,Cass Lake-Bena,.39726028,0,.6438356
2018,Cass Lake-Bena,.50684929,0,.75342464
2014,Cass Lake-Bena,.5479452,0,.65753424
2018,Cedar Mountain,.23809524,0,.76190478
2016,Cedar Mountain,.66666669,0,.76190478
2013,Cedar Mountain,.2857143,0,0
2012,Cedar Mountain,.2857143,0,
2020,Cedar Mountain,.23809524,0,.66666669
2019,Cedar Mountain,.23809524,0,.71428573
2017,Cedar Mountain,.23809524,.047619049,.76190478
2015,Cedar Mountain,.23809524,0,.33333334
2014,Cedar Mountain,.2857143,0,0
2016,Centennial,.2591362,.79734218,.8305648
2018,Centennial,.29900333,.75083059,.82392025
2017,Centennial,.27574751,.79401994,.82724255
2014,Centennial,.24252492,.7807309,.81395346
2019,Centennial,.34219268,.87707639,.77740866
2012,Centennial,.2358804,.91694355,
2013,Centennial,.27906978,.90365446,.76411963
2020,Centennial,.24916944,.98671097,.90033221
2015,Centennial,.24916944,.79401994,.82724255
2016,Central,.94814813,.022222223,0
2017,Central,.65185183,.0074074073,0
2015,Central,.91851854,.037037037,0
2019,Central,.94814813,0,.044444446
2012,Central,.91111112,.0074074073,
2018,Central,.94814813,0,0
2013,Central,.94814813,.0074074073,0
2020,Central,.94814813,.014814815,.044444446
2014,Central,.93333334,.0074074073,0
2018,Chatfield,.43137255,.039215688,.43137255
2019,Chatfield,.4509804,.019607844,.50980395
2016,Chatfield,.41176471,.039215688,.4509804
2013,Chatfield,.41176471,.078431375,0
2017,Chatfield,.4509804,.05882353,.41176471
2020,Chatfield,.47058824,.019607844,.41176471
2015,Chatfield,.37254903,.039215688,.49019608
2014,Chatfield,.39215687,.078431375,.50980395
2012,Chatfield,.41176471,.078431375,
2016,Chisago Lakes,.73584908,.028301887,.35849056
2015,Chisago Lakes,.68867922,.028301887,.38207546
2014,Chisago Lakes,.6745283,.014150944,.39622641
