year,mnsendist,s_mnsendist_N_below_supply,s_mnsendist_N_above_cost,s_mnsendist_N_below_quality
2017,1,.38600001,.0099999998,.34799999
2015,1,.389,.001,.35100001
2016,1,.377,.012,.35800001
2012,1,.37200001,.0040000002,
2018,1,.40000001,.0070000002,.301
2014,1,.38600001,.001,.40200001
2013,1,.377,.0020000001,.359
2013,2,.73007971,0,.25298804
2018,2,.7320717,0,.25099602
2017,2,.72211158,.0059760958,.26593626
2012,2,.7320717,.0059760958,
2015,2,.70717132,0,.28984064
2016,2,.6982072,.0039840639,.30478087
2014,2,.69123507,0,.29681274
2013,3,.67806268,.018518519,.11538462
2014,3,.72649574,.015669515,.3105413
2016,3,.74074072,.025641026,.15099715
2012,3,.77492875,.034188036,
2017,3,.83333331,.015669515,.21652421
2018,3,.79344732,.011396011,.14387465
2015,3,.71509969,.012820513,.14814815
2018,4,.38461539,.0053050397,.32714412
2016,4,.41556144,.00088417332,.19717064
2017,4,.37931034,0,.36074272
2012,4,.32183909,.0035366933,
2015,4,.38638374,0,.17595048
2014,4,.37754199,0,.24137931
2013,4,.31830239,0,.39876217
2012,5,.51052046,.0044296789,
2017,5,.54706532,.0088593578,.47840533
2014,5,.50387597,.026578072,.50166112
2016,5,.5227021,.0011074197,.46954596
2018,5,.55813956,0,.46290144
2015,5,.49169436,.0033222591,.46843854
2013,5,.5215947,0,.44186047
2018,6,.66899765,.0023310024,.42074591
2016,6,.70512819,.034965035,.46969697
2017,6,.73426574,.025641026,.42657343
2015,6,.58391607,.0034965035,.36480185
2012,6,.69230771,.01048951,
2013,6,.59440559,.012820513,.54428905
2014,6,.4965035,.012820513,.53729606
2016,7,.54588234,.098823532,.0094117643
2013,7,.40588236,0,.3917647
2015,7,.47529411,0,.27294117
2018,7,.55647057,.050588235,.19294117
2014,7,.42588234,0,.34235293
2012,7,.37294117,0,
2017,7,.51058823,0,.3764706
2013,8,.44772968,0,.26187962
2016,8,.48574445,.004223865,.1404435
2012,8,.47412884,0,
2014,8,.39809927,0,.218585
2018,8,.54382259,.0031678986,.25448784
2017,8,.56494194,.004223865,.21436115
2015,8,.48891234,0,.12988384
2013,9,.64688426,.00098911964,.20573689
2014,9,.61325419,.0019782393,.30563799
2012,9,.69139469,.0039564786,
2016,9,.6023739,.0039564786,.31454006
2018,9,.64688426,.0049455985,.29179031
2017,9,.61127597,.012858556,.28486648
2015,9,.6271019,.0019782393,.35014838
2013,10,.48783454,.001216545,.18734793
2016,10,.57420927,.036496349,.26155719
2018,10,.53163016,.01216545,.40632603
2017,10,.56569344,.00729927,.39172751
2015,10,.52433091,.032846715,.3759124
2014,10,.50608271,.035279807,.29683697
2012,10,.5,.0060827252,
2013,11,.60052907,.0052910051,.2037037
2015,11,.60185188,.0052910051,.40079364
2017,11,.5899471,.034391534,.41798943
2012,11,.67328042,.015873017,
2014,11,.58068782,.0066137565,.4074074
2016,11,.6137566,.033068784,.40873015
2018,11,.59391534,.0039682542,.36375663
2017,12,.44206974,.0033745782,.28008997
2014,12,.40832397,.0033745782,.21147357
2015,12,.42182228,0,.2710911
2016,12,.43869516,0,.23397075
2013,12,.39820021,.0033745782,.17660293
2018,12,.43982002,.013498313,.23397075
2012,12,.4431946,.0022497189,
2012,13,.37291461,0,
2013,13,.36800784,0,.012757606
2018,13,.4121688,.01373896,.14916585
2017,13,.44455349,.0088321883,.12659471
2014,13,.3817468,.01373896,.12463199
2015,13,.39646712,.010794897,.24926399
2016,13,.37487733,.0039254171,.18351325
2017,14,.51889682,.026557712,.41981614
2015,14,.49336058,.0071501532,.52808988
2016,14,.49846783,.026557712,.41266599
2012,14,.49336058,0,
2018,14,.53932583,.02145046,.44535241
2013,14,.48110315,0,.29724208
2014,14,.47191012,.031664964,.40040857
2017,15,.60695469,.035827186,.18335089
2014,15,.59009486,.0063224449,.09589041
2018,15,.601686,.044257112,.18756586
2013,15,.57639623,.0052687037,.065331928
2015,15,.597471,.0052687037,.11907271
2012,15,.59114856,.01264489,
2016,15,.58587986,.069546893,.10958904
2012,16,.30913091,0,
2018,16,.30143014,.00220022,.19911991
2014,16,.30253026,.00110011,.27612761
2016,16,.3058306,.0033003301,.23982398
2015,16,.28932893,.00220022,.27942795
2013,16,.30473047,0,.11111111
2017,16,.32783279,.00440044,.36633664
2014,17,.44628099,.0020661156,.45867768
2017,17,.48760331,0,.32954547
2013,17,.47520661,.0020661156,.30475205
2012,17,.46487603,0,
2016,17,.47623968,.0010330578,.38223141
2015,17,.45867768,.0010330578,.39462811
2018,17,.46694216,0,.36260331
2013,18,.42242354,0,.12344281
2016,18,.43374857,.0011325028,.32049829
2015,18,.39411098,0,.33748585
2014,18,.3952435,0,.32842582
2017,18,.43374857,0,.42808607
2018,18,.4428086,.0011325028,.26160815
2012,18,.403171,0,
2014,19,.34851936,.0034168565,.41002277
2013,19,.24145786,0,.28473803
2012,19,.24829157,0,
2017,19,.33940774,.006833713,.35876992
2018,19,.38952163,.006833713,.35649201
2016,19,.32801822,.006833713,.30865604
2015,19,.32460135,.0022779044,.34624144
2013,20,.37966806,.02593361,.040456433
2012,20,.35062242,.051867221,
2016,20,.49792531,.1400415,.1120332
2018,20,.51970953,.026970955,.1120332
2017,20,.57883817,.047717843,.098547719
2015,20,.47510374,.054979254,.13589212
2014,20,.47095436,.040456433,.12759337
2018,21,.45180023,.011614402,.33449477
2016,21,.45644599,.0058072009,.3205575
2013,21,.41463414,.0011614402,.044134729
2014,21,.43670151,.008130081,.13704994
2017,21,.49709639,.036004648,.27642277
2015,21,.43205574,.0046457606,.19628339
2012,21,.39488965,.012775842,
2018,22,.53823817,.0019361085,.21587609
2015,22,.50242013,0,.20135528
2012,22,.53242981,0,
2014,22,.51403677,0,.22846079
2013,22,.51694095,0,.049370766
2017,22,.52468538,0,.34172314
2016,22,.53242981,.0019361085,.26621491
2015,23,.49434388,.0079185525,.35067874
2016,23,.53167421,.03167421,.2647059
2018,23,.53506786,0,.20475113
2013,23,.38235295,.015837105,.07013575
2017,23,.42873302,.013574661,.27375567
2012,23,.35746607,.0067873304,
2014,23,.50565612,.013574661,.20022625
2017,24,.6784274,.0030241935,.24294356
2012,24,.46068549,.0080645159,
2016,24,.65221775,.0040322579,.21068548
2013,24,.50705647,0,.2610887
2014,24,.59375,.002016129,.28729838
2018,24,.64314514,.0030241935,.34979838
2015,24,.58669353,.0050403224,.27620968
2012,25,.22271127,.59242958,
2016,25,.26584506,.64788735,.55809861
2015,25,.20070423,.66637325,.6690141
2014,25,.19366197,.61443663,.66197181
2017,25,.22007042,.73855633,.59683096
2013,25,.23503521,.56514084,.57306337
2018,25,.19630282,.71302819,.63204223
2017,26,.30880713,.37346712,.64771461
2013,26,.23076923,.19620959,.61315495
2012,26,.20735785,.16610925,
2015,26,.23857301,.43589744,.68784839
2018,26,.27870679,.28539577,.65440357
2016,26,.27870679,.28093645,.62207359
2014,26,.25529543,.2742475,.63879597
2017,27,.75943905,0,.34196332
2014,27,.61596549,0,.14131607
2013,27,.62998921,0,.086299889
2012,27,.61596549,0,
2015,27,.69687164,.0010787486,.047464941
2016,27,.72168285,.010787486,.23193096
2018,27,.72276157,0,.45091695
2012,28,.35177305,.0028368793,
2013,28,.35319149,0,.24113475
2017,28,.41276595,.021276595,.38014185
2018,28,.40425533,.004255319,.39716312
2015,28,.39716312,.0014184397,.33617023
2014,28,.35319149,.0014184397,.28936172
2016,28,.38581559,.05957447,.33758864
2016,29,.58073151,.033898305,.30686888
2013,29,.58876002,.13559322,.046387155
2014,29,.55842996,.07671722,.31222123
2017,29,.60927743,.026761821,.20785013
2018,29,.61819804,.19892953,.28099909
2015,29,.59143621,.023193577,.2337199
2012,29,.59589654,.079393402,
2014,30,.57670456,.31107953,.10653409
2017,30,.671875,.32457387,.04190341
2018,30,.66761363,.34517047,.052556816
2012,30,.50923294,.36789772,
2015,30,.64488637,.23650569,.10227273
2013,30,.50497156,.27201703,.15909091
2016,30,.62357956,.31605113,.061789773
2012,31,.5917902,.17901939,
2014,31,.63055873,.37970352,.053591792
2013,31,.63625997,.22919042,.019384265
2016,31,.71493727,.13683011,.05245154
2018,31,.68072975,.31470925,.047890536
2017,31,.76852906,.32041049,.036488026
2015,31,.61915624,.26795894,.067274801
2014,32,.63248849,.050691243,.26497695
2015,32,.65322578,.039170507,.27419356
2018,32,.6497696,.051843319,.27188939
2017,32,.63709676,.041474655,.27188939
2013,32,.64400923,.066820279,.21313363
2016,32,.72119814,.034562211,.27073732
2012,32,.6497696,.13018434,
2014,33,.72752041,.77792913,.42234331
2012,33,.73841959,.85422343,
2013,33,.77520436,.83923703,.30381471
2017,33,.5572207,.76021796,.40190735
2015,33,.62125343,.79700273,.46594006
2018,33,.5667575,.81880111,.40871936
2016,33,.60490465,.8147139,.43188012
2018,34,.47023296,.97670406,.55910265
2013,34,.60483176,.94650561,.40724763
2012,34,.58584988,.94909406,
