county,year,varname,value_b2
Aitkin,2012,Weekly Price,108.79
Aitkin,2012,TotCapacity,303.34
Aitkin,2012,AvgCapacity,12.64
Aitkin,2012,CCCShare,.04
Aitkin,2012,HRShare,0
Aitkin,2012,PublicShare,.04
Aitkin,2013,Weekly Price,112.07
Aitkin,2013,TotCapacity,377.6
Aitkin,2013,AvgCapacity,12.18
Aitkin,2013,CCCShare,.03
Aitkin,2013,HRShare,.06
Aitkin,2013,PublicShare,.03
Aitkin,2014,Weekly Price,107.36
Aitkin,2014,TotCapacity,501.64
Aitkin,2014,AvgCapacity,14.75
Aitkin,2014,CCCShare,.06
Aitkin,2014,HRShare,.15
Aitkin,2014,PublicShare,.09
Aitkin,2015,Weekly Price,100.16
Aitkin,2015,TotCapacity,352.33
Aitkin,2015,AvgCapacity,11.01
Aitkin,2015,CCCShare,0
Aitkin,2015,HRShare,.16
Aitkin,2015,PublicShare,.13
Aitkin,2016,Weekly Price,102.4
Aitkin,2016,TotCapacity,312
Aitkin,2016,AvgCapacity,12
Aitkin,2016,CCCShare,0
Aitkin,2016,HRShare,.19
Aitkin,2016,PublicShare,.15
Aitkin,2017,Weekly Price,100.04
Aitkin,2017,TotCapacity,253.3
Aitkin,2017,AvgCapacity,11.51
Aitkin,2017,CCCShare,0
Aitkin,2017,HRShare,.36
Aitkin,2017,PublicShare,.18
Aitkin,2018,Weekly Price,102.69
Aitkin,2018,TotCapacity,241.27
Aitkin,2018,AvgCapacity,11.49
Aitkin,2018,CCCShare,0
Aitkin,2018,HRShare,.33
Aitkin,2018,PublicShare,.19
Aitkin,2019,Weekly Price,100.38
Aitkin,2019,TotCapacity,284.27
Aitkin,2019,AvgCapacity,11.84
Aitkin,2019,CCCShare,0
Aitkin,2019,HRShare,.33
Aitkin,2019,PublicShare,.21
Aitkin,2020,Weekly Price,119.09
Aitkin,2020,TotCapacity,337.97
Aitkin,2020,AvgCapacity,12.07
Aitkin,2020,CCCShare,.04
Aitkin,2020,HRShare,.25
Aitkin,2020,PublicShare,.18
Aitkin,2021,Weekly Price,149.28
Aitkin,2021,TotCapacity,320.57
Aitkin,2021,AvgCapacity,12.82
Aitkin,2021,CCCShare,.04
Aitkin,2021,HRShare,.28
Aitkin,2021,PublicShare,.16
Aitkin,2022,Weekly Price,116.11
Aitkin,2022,TotCapacity,307.87
Aitkin,2022,AvgCapacity,12.31
Aitkin,2022,CCCShare,.04
Aitkin,2022,HRShare,.24
Aitkin,2022,PublicShare,.12
Anoka,2012,Weekly Price,146.49
Anoka,2012,TotCapacity,11579.13
Anoka,2012,AvgCapacity,14.88
Anoka,2012,CCCShare,.08
Anoka,2012,HRShare,0
Anoka,2012,PublicShare,0
Anoka,2013,Weekly Price,150.6
Anoka,2013,TotCapacity,11585.04
Anoka,2013,AvgCapacity,15.36
Anoka,2013,CCCShare,.1
Anoka,2013,HRShare,.04
Anoka,2013,PublicShare,0
Anoka,2014,Weekly Price,151.68
Anoka,2014,TotCapacity,12126.01
Anoka,2014,AvgCapacity,16.89
Anoka,2014,CCCShare,.11
Anoka,2014,HRShare,.09
Anoka,2014,PublicShare,.04
Anoka,2015,Weekly Price,153.4
Anoka,2015,TotCapacity,11318.09
Anoka,2015,AvgCapacity,16.36
Anoka,2015,CCCShare,.11
Anoka,2015,HRShare,.12
Anoka,2015,PublicShare,.04
Anoka,2016,Weekly Price,156.49
Anoka,2016,TotCapacity,10943.4
Anoka,2016,AvgCapacity,17.29
Anoka,2016,CCCShare,.12
Anoka,2016,HRShare,.16
Anoka,2016,PublicShare,.06
Anoka,2017,Weekly Price,154.05
Anoka,2017,TotCapacity,10813.06
Anoka,2017,AvgCapacity,17.87
Anoka,2017,CCCShare,.13
Anoka,2017,HRShare,.18
Anoka,2017,PublicShare,.06
Anoka,2018,Weekly Price,159.58
Anoka,2018,TotCapacity,10965.72
Anoka,2018,AvgCapacity,18.46
Anoka,2018,CCCShare,.13
Anoka,2018,HRShare,.19
Anoka,2018,PublicShare,.07
Anoka,2019,Weekly Price,159.34
Anoka,2019,TotCapacity,11327.74
Anoka,2019,AvgCapacity,19.56
Anoka,2019,CCCShare,.14
Anoka,2019,HRShare,.21
Anoka,2019,PublicShare,.08
Anoka,2020,Weekly Price,171.12
Anoka,2020,TotCapacity,10645.81
Anoka,2020,AvgCapacity,18.64
Anoka,2020,CCCShare,.15
Anoka,2020,HRShare,.16
Anoka,2020,PublicShare,.04
Anoka,2021,Weekly Price,180.5
Anoka,2021,TotCapacity,10749.25
Anoka,2021,AvgCapacity,20.32
Anoka,2021,CCCShare,.16
Anoka,2021,HRShare,.2
Anoka,2021,PublicShare,.06
Anoka,2022,Weekly Price,183.11
Anoka,2022,TotCapacity,11277.84
Anoka,2022,AvgCapacity,21.77
Anoka,2022,CCCShare,.19
Anoka,2022,HRShare,.22
Anoka,2022,PublicShare,.05
Becker,2012,Weekly Price,106.08
Becker,2012,TotCapacity,1258.41
Becker,2012,AvgCapacity,10.94
Becker,2012,CCCShare,.01
Becker,2012,HRShare,0
Becker,2012,PublicShare,.05
Becker,2013,Weekly Price,109.33
Becker,2013,TotCapacity,1328.4
Becker,2013,AvgCapacity,10.89
Becker,2013,CCCShare,.02
Becker,2013,HRShare,.17
Becker,2013,PublicShare,.05
Becker,2014,Weekly Price,105.66
Becker,2014,TotCapacity,1401.1
Becker,2014,AvgCapacity,11.39
Becker,2014,CCCShare,.02
Becker,2014,HRShare,.24
Becker,2014,PublicShare,.09
Becker,2015,Weekly Price,107.71
Becker,2015,TotCapacity,1370.23
Becker,2015,AvgCapacity,11.92
Becker,2015,CCCShare,.03
Becker,2015,HRShare,.22
Becker,2015,PublicShare,.09
Becker,2016,Weekly Price,110.46
Becker,2016,TotCapacity,1214.14
Becker,2016,AvgCapacity,11.9
Becker,2016,CCCShare,.04
