year,county,TotCapacity,Price,Capacity,ShareCCC,ShareHighRated,SharePublic
2012,Freeborn,858.87939,99.5,12.4,.029,0,.014
2012,Washington,8383.8623,157,16.3,.086,0,.008
2012,Kandiyohi,1334.1306,101,10.8,.024,0,.032
2012,Olmsted,8013.7183,138.6,14.6,.051,0,.022
2012,Winona,1728.3734,107.8,12.1,.049,0,.021
2012,Ramsey,15241.765,161.9,19.1,.158,0,.011
2012,Hennepin,33159.461,180.6,23.2,.2,0,.008
2012,Wadena,371.75964,89.7,10.6,.029,0,.114
2012,Dakota,15360.063,163,16.4,.094,0,.005
2012,Anoka,11579.131,146.5,14.9,.085,0,.004
2012,Sibley,547.53333,104,9.800000000000001,0,0,.054
2012,Polk,1377.0265,100.3,13.4,.058,0,.039
2012,Wabasha,743.0307,114.6,10.9,.029,0,.015
2012,Todd,594.88574,77.90000000000001,11.9,0,0,.14
2012,Nobles,588.69537,82.2,12,.041,0,.061
2012,Pennington,713.62549,99.5,11,.031,0,.015
2012,Lyon,1537.4382,101.3,12.5,.049,0,.016
2012,Mower,1075.2456,106.9,11.7,.043,0,.022
2012,Scott,6375.7515,158,13.1,.047,0,.008
2012,Nicollet,1495.9688,117.5,16.4,.088,0,0
2012,Renville,672.52106,95.5,13.5,.02,0,.04
2012,Dodge,942.41431,119,11.5,.012,0,.024
2012,Stearns,6333.7695,110.3,12,.042,0,.008
2012,Goodhue,1669.0267,122.9,13.1,.047,0,.016
2012,Wright,5001.2256,133.4,11.6,.03,0,.019
2012,Fillmore,1071.2408,99.09999999999999,17.9,.05,0,.05
2012,Le Sueur,1071.9143,117.9,10.3,0,0,.019
2012,Rice,1948.6643,126,12,.043,0,.012
2012,Mille Lacs,805.44452,106.7,16.8,.083,0,.021
2012,Houston,778.39331,100.5,10.4,.027,0,.053
2012,Beltrami,1726.2574,104.9,13.7,.056,0,.048
2012,Sherburne,3479.8828,127,13.3,.05,0,.008
2012,Meeker,622.23376,99.5,13.2,.043,0,.043
2012,Saint Louis,5432.1392,111.7,16,.1,0,.062
2012,Martin,743.91138,93.8,10.9,.015,0,0
2012,Wilkin,234.40475,93.5,9.4,0,0,.04
2012,Otter Tail,1540.9363,101.4,10.8,.035,0,.021
2012,McLeod,1495.54,107.6,11.6,.023,0,.031
2012,Clay,2583.7522,112.6,12.7,.049,0,.015
2012,Morrison,1134.799,96.09999999999999,10.7,.009,0,.038
2012,Chippewa,464.00858,89,12.2,.026,0,.053
2012,Red Lake,448.83673,76.5,18.7,.042,0,.125
2012,Murray,297.81812,85.40000000000001,11.5,.038,0,0
2012,Carver,3503.3738,160.6,16.3,.088,0,.005
2012,Crow Wing,1910.5905,116.4,13.1,.075,0,.021
2012,Stevens,381.17111,90,11.9,.031,0,.031
2012,Blue Earth,3163.7432,114.4,15.7,.075,0,.015
2012,Steele,2105.4551,107.3,13.5,.038,0,.013
2012,Brown,1399.7339,96.3,12.3,.044,0,.018
2012,Chisago,1439.6027,131.9,13.3,.065,0,0
2012,Benton,1765.3789,112.6,11,.019,0,.006
2012,Cass,1158.6672,93,21.9,.038,0,.151
2012,Roseau,730.23334,85.40000000000001,10.1,0,0,.056
