county,year,varname,value_b2
Aitkin,2012,Weekly Price(rank),27
Aitkin,2012,TotCapacity(rank),72
Aitkin,2012,AvgCapacity(rank),34
Aitkin,2012,CCCShare(rank),39.5
Aitkin,2012,HRShare(rank),44
Aitkin,2012,Public(rank),34
Aitkin,2013,Weekly Price(rank),29
Aitkin,2013,TotCapacity(rank),72
Aitkin,2013,AvgCapacity(rank),38
Aitkin,2013,CCCShare(rank),46
Aitkin,2013,HRShare(rank),26
Aitkin,2013,Public(rank),37
Aitkin,2014,Weekly Price(rank),29
Aitkin,2014,TotCapacity(rank),61
Aitkin,2014,AvgCapacity(rank),20
Aitkin,2014,CCCShare(rank),21
Aitkin,2014,HRShare(rank),16.5
Aitkin,2014,Public(rank),33.5
Aitkin,2015,Weekly Price(rank),48
Aitkin,2015,TotCapacity(rank),72
Aitkin,2015,AvgCapacity(rank),68
Aitkin,2015,CCCShare(rank),79.5
Aitkin,2015,HRShare(rank),22
Aitkin,2015,Public(rank),15
Aitkin,2016,Weekly Price(rank),71
Aitkin,2016,TotCapacity(rank),74
Aitkin,2016,AvgCapacity(rank),56
Aitkin,2016,CCCShare(rank),79.5
Aitkin,2016,HRShare(rank),23
Aitkin,2016,Public(rank),16
Aitkin,2017,Weekly Price(rank),51
Aitkin,2017,TotCapacity(rank),79
Aitkin,2017,AvgCapacity(rank),60
Aitkin,2017,CCCShare(rank),79.5
Aitkin,2017,HRShare(rank),7
Aitkin,2017,Public(rank),9
Aitkin,2018,Weekly Price(rank),49
Aitkin,2018,TotCapacity(rank),79
Aitkin,2018,AvgCapacity(rank),66
Aitkin,2018,CCCShare(rank),79.5
Aitkin,2018,HRShare(rank),7.5
Aitkin,2018,Public(rank),12
Aitkin,2019,Weekly Price(rank),56
Aitkin,2019,TotCapacity(rank),75
Aitkin,2019,AvgCapacity(rank),67
Aitkin,2019,CCCShare(rank),79
Aitkin,2019,HRShare(rank),7.5
Aitkin,2019,Public(rank),9.5
Aitkin,2020,Weekly Price(rank),27
Aitkin,2020,TotCapacity(rank),68
Aitkin,2020,AvgCapacity(rank),56
Aitkin,2020,CCCShare(rank),55
Aitkin,2020,HRShare(rank),17
Aitkin,2020,Public(rank),12
Aitkin,2021,Weekly Price(rank),13
Aitkin,2021,TotCapacity(rank),69
Aitkin,2021,AvgCapacity(rank),53
Aitkin,2021,CCCShare(rank),61
Aitkin,2021,HRShare(rank),16.5
Aitkin,2021,Public(rank),17
Aitkin,2022,Weekly Price(rank),57
Aitkin,2022,TotCapacity(rank),69
Aitkin,2022,AvgCapacity(rank),77
Aitkin,2022,CCCShare(rank),73
Aitkin,2022,HRShare(rank),31
Aitkin,2022,Public(rank),16
Anoka,2012,Weekly Price(rank),7
Anoka,2012,TotCapacity(rank),4
Anoka,2012,AvgCapacity(rank),16
Anoka,2012,CCCShare(rank),11
Anoka,2012,HRShare(rank),44
Anoka,2012,Public(rank),80
Anoka,2013,Weekly Price(rank),7
Anoka,2013,TotCapacity(rank),4
Anoka,2013,AvgCapacity(rank),15
Anoka,2013,CCCShare(rank),7
Anoka,2013,HRShare(rank),47
Anoka,2013,Public(rank),79
Anoka,2014,Weekly Price(rank),7
Anoka,2014,TotCapacity(rank),4
Anoka,2014,AvgCapacity(rank),14
Anoka,2014,CCCShare(rank),8
Anoka,2014,HRShare(rank),48
Anoka,2014,Public(rank),70
Anoka,2015,Weekly Price(rank),7
Anoka,2015,TotCapacity(rank),4
Anoka,2015,AvgCapacity(rank),14
Anoka,2015,CCCShare(rank),9
Anoka,2015,HRShare(rank),33
Anoka,2015,Public(rank),69
Anoka,2016,Weekly Price(rank),7
Anoka,2016,TotCapacity(rank),4
Anoka,2016,AvgCapacity(rank),11
Anoka,2016,CCCShare(rank),10
Anoka,2016,HRShare(rank),41
Anoka,2016,Public(rank),71
Anoka,2017,Weekly Price(rank),7
Anoka,2017,TotCapacity(rank),4
Anoka,2017,AvgCapacity(rank),10
Anoka,2017,CCCShare(rank),12
Anoka,2017,HRShare(rank),34
Anoka,2017,Public(rank),71
Anoka,2018,Weekly Price(rank),7
Anoka,2018,TotCapacity(rank),4
Anoka,2018,AvgCapacity(rank),13
Anoka,2018,CCCShare(rank),9
Anoka,2018,HRShare(rank),33
Anoka,2018,Public(rank),69
Anoka,2019,Weekly Price(rank),7
Anoka,2019,TotCapacity(rank),4
Anoka,2019,AvgCapacity(rank),13
Anoka,2019,CCCShare(rank),9
Anoka,2019,HRShare(rank),30
Anoka,2019,Public(rank),62
Anoka,2020,Weekly Price(rank),7
Anoka,2020,TotCapacity(rank),4
Anoka,2020,AvgCapacity(rank),13
Anoka,2020,CCCShare(rank),8
Anoka,2020,HRShare(rank),45
Anoka,2020,Public(rank),73
Anoka,2021,Weekly Price(rank),7
Anoka,2021,TotCapacity(rank),4
Anoka,2021,AvgCapacity(rank),11
Anoka,2021,CCCShare(rank),8
Anoka,2021,HRShare(rank),43
Anoka,2021,Public(rank),69
Anoka,2022,Weekly Price(rank),8
Anoka,2022,TotCapacity(rank),4
Anoka,2022,AvgCapacity(rank),11
Anoka,2022,CCCShare(rank),8
Anoka,2022,HRShare(rank),41
Anoka,2022,Public(rank),58
Becker,2012,Weekly Price(rank),33
Becker,2012,TotCapacity(rank),31
Becker,2012,AvgCapacity(rank),57
Becker,2012,CCCShare(rank),71
Becker,2012,HRShare(rank),44
Becker,2012,Public(rank),28
Becker,2013,Weekly Price(rank),36
Becker,2013,TotCapacity(rank),32
Becker,2013,AvgCapacity(rank),60
Becker,2013,CCCShare(rank),68.5
Becker,2013,HRShare(rank),3
Becker,2013,Public(rank),27
Becker,2014,Weekly Price(rank),34
Becker,2014,TotCapacity(rank),32
Becker,2014,AvgCapacity(rank),58
Becker,2014,CCCShare(rank),61
Becker,2014,HRShare(rank),6
Becker,2014,Public(rank),32
Becker,2015,Weekly Price(rank),32
Becker,2015,TotCapacity(rank),32
Becker,2015,AvgCapacity(rank),45
Becker,2015,CCCShare(rank),47
Becker,2015,HRShare(rank),9
Becker,2015,Public(rank),30.5
Becker,2016,Weekly Price(rank),52
Becker,2016,TotCapacity(rank),32
Becker,2016,AvgCapacity(rank),59
Becker,2016,CCCShare(rank),47.5
Becker,2016,HRShare(rank),6
Becker,2016,Public(rank),29
Becker,2017,Weekly Price(rank),32
Becker,2017,TotCapacity(rank),34
Becker,2017,AvgCapacity(rank),53
Becker,2017,CCCShare(rank),60
Becker,2017,HRShare(rank),9
Becker,2017,Public(rank),30
Becker,2018,Weekly Price(rank),37
Becker,2018,TotCapacity(rank),34
Becker,2018,AvgCapacity(rank),60
Becker,2018,CCCShare(rank),65
